['Uzaylı Avcısı Odin', '89baf0f4-4648-69fc-f0af-2fbc69b97b80']
['Sonsuz Phantom', 'c71c8e2e-481f-c09f-57ef-91846a982cb5']
['PHANTOM', '871e73ed-452d-eb5a-3d6b-1d87060f35ce']
['Kaplan Phantom', '437fae46-4145-c8a5-14d7-9c8a05bddb05']
['BlastX Phantom', '7b534393-40b0-38d0-1ffc-2b8b78708264']
['2. Seviye BlastX Phantom', '5725e2ca-4889-cd60-67e9-b4b968a2f461']
['3. Seviye BlastX Phantom', '0f690150-4a9a-1a0d-2ec2-c596696cb311']
['4. Seviye BlastX Phantom', '2d8a7310-412c-448b-3475-f681999e3920']
['Kış Harikası Phantom', '63a65008-4266-1117-fe3d-d1bf290b7da9']
['Aztek Güneş Taşı Judge', 'd73d6605-40b3-6a79-ad77-adbfc2e20742']
['Altşehir Judge', 'f27be4ed-4fa5-9c3a-592a-b98bb455fd12']
['Delipop Judge', '712c7a37-4524-0b27-dfdd-4e95181dd36e']
['2. Seviye Delipop Judge', 'c9480c4d-4005-8cd9-e1a2-18bed7f2e801']
['3. Seviye Delipop Judge', '6f48190c-403c-3a92-1a89-f983fa9281db']
['4. Seviye Delipop Judge', 'c60c98e3-41de-ed9c-fb92-aa9c6e0bc7a0']
['Zamanın Ötesi Judge', 'b0d5c4da-4d81-4386-e841-759818ce9b6c']
['2. Seviye Zamanın Ötesi Judge', 'c6065860-4afc-ef16-97a0-c88445221a2c']
['3. Seviye Zamanın Ötesi Judge', '6ee35273-4fe5-c352-1332-57b0eb04ccac']
['4. Seviye Zamanın Ötesi Judge', 'b05f2a52-40c9-10de-9c90-2ca8e01a5da4']
['Ejder Ateşi Judge', 'd8c9fee3-4e02-bc92-a235-608a556905ae']
['2. Seviye Ejder Ateşi Judge', '640764d8-495d-3663-27ab-b99f5f2466d6']
['3. Seviye Ejder Ateşi Judge', 'd95e4b3c-4081-4005-cae7-14b890046b4f']
['4. Seviye Ejder Ateşi Judge', 'd41a4383-4c15-4c3f-1f16-4fbb4fb36ed8']
['AKINCI JUDGE', '33d3c906-4305-19cf-8770-1eb5207482cc']
['Takımın Ası Judge', 'ca41d64f-4622-593f-382e-0484a1a3dd6b']
['Simli Judge', 'e6bdb298-4372-7c74-a057-f891a3ade5e7']
['.EXE Judge', 'f8cd4279-4530-db62-1e4e-aa82c129b045']
['Altın Kanat Judge', '77dd3407-4580-9734-a0bb-6b80a4e5be3e']
['Ebruli Judge', '2a25f841-4769-6536-ded3-8890ee26c430']
['Karakol Judge', '11e342ba-4f18-b9ab-964e-e48fdf610890']
['Prizma III Judge', 'b3e563fe-4a91-6070-4582-7ca51d62631a']
['VAKUR JUDGE', '4afdc818-4665-1582-6319-8081aa64e550']
['Kohaku ve Matsuba Judge', 'ccf16a23-4222-1abe-d8f0-93a782b5b449']
['FLAŞ JUDGE', '1b94d997-4db6-014f-4cb8-c1b4df7d7ebc']
['İridyum Kesiği Judge', '7fa021e2-4881-d71e-f7a1-a6947b4b48d9']
['SEMAVİ JUDGE', '4f45735c-4513-e9a6-48ac-35acca4c3410']
['GÖSTERİŞLİ JUDGE', 'cfeb4b7a-4310-796c-db4e-fb9844823992']
['Koalisyon: Kobra Judge', 'fe644484-4d07-5472-9e4a-d3992f2f2ecb']
['Kızıl Musibet Judge', '8c02ea4f-45ce-76ba-9ea6-198156deb9eb']
['2. Seviye Kızıl Musibet Judge - Her skorda aktifleşen özel görsel efekt ve ses', 'e1401626-424d-a263-2b60-4eb2147c096c']
['KÜBİK TİLKİ JUDGE', '3c23fdc3-4300-ec78-5123-bcb0dc456473']
['Uçan Domuzcuk Judge', '7ae57ece-4560-236b-5bdb-5f8ee2c294b2']
['Yapboz Judge', 'a1c04a89-45e6-0406-9e1a-668cd772fc63']
['Şenlik Judge', '65ed014b-4279-8ba5-01d3-f48d4e7f115c']
['Rasgele Favori Kaplama', '69dd1d46-422b-ec24-6dc1-fb848d445ef4']
['Kar Diyarı Judge', 'e1b5cdca-4df5-5c4e-f34a-3cbdd3fd8735']
['JUDGE', '6942d8d1-4370-a144-2140-22a6d2be2697']
['Sonik Patlama Judge', '5a93b96b-4b27-c478-0dae-c89077561adb']
['KONVEKS JUDGE', '73e91435-4a2a-2552-d541-eb961e168f2c']
['Ahşap Judge', '07ac5e03-42e6-0fd9-b8fa-4d9f059b904f']
['Uzaylı Avcısı Bucky', '01a984b8-4b91-ab61-60b9-1bb9ce54bd04']
['2. Seviye Uzaylı Avcısı Bucky', 'a3073107-4927-808c-acce-e0972543f75a']
['Aztek Güneş Taşı Bucky', '154dea46-45a7-828d-5e0a-b9b3e4f7d7e3']
['Köken Bucky', '56042ce2-4f95-19be-7cac-5fb191683953']
['2. Seviye Köken Bucky', 'd7ba0b3f-445b-1075-69b9-ebb3d79f7cc6']
['3. Seviye Köken Bucky', '36f894b7-49ae-251d-d6c1-6ba43588feb0']
['4. Seviye Köken Bucky', '52790992-4d3d-cca0-87cd-f8a54cb1a919']
['Radyant Krizi 001 Bucky', 'bddfd0ba-49a1-0f4f-e32a-d5a1ed29d5fc']
['2. Seviye Radyant Krizi 001 Bucky', '9485c7ec-4869-5454-165f-08898e934835']
['3. Seviye Radyant Krizi 001 Bucky', '587f57bf-495d-2201-1db4-71aa270dd589']
['KIRMIZI ALARM BUCKY', '633521c9-42ae-d2be-78c1-a09b25af7d10']
['Elektro Bucky', '1e7be2e9-418e-7f39-d879-a8912be1d3ab']
['.SYS Bucky', 'b7652717-49c0-b658-529e-6f8146ab0eca']
['UFUK BUCKY', 'f7425a39-43ca-e1fe-5b2b-56a51ed479c5']
['HÜKÜMDAR BUCKY', 'a773dd2f-4027-4b98-8d4b-5ea0c7924883']
['Ebruli Bucky', '338bb3e6-4c47-425d-32a5-5ea1a96c78ae']
['Asil//2.0 Bucky', 'f987be1f-4287-35a4-34a9-d6a92805e7ff']
['2. Seviye Asil//2.0 Bucky', 'bb7700ba-44a7-fac9-0a8b-969412238fd4']
['3. Seviye Asil//2.0 Bucky', '1db224e3-49b7-eba5-0c94-779238480de1']
['4. Seviye Asil//2.0 Bucky', 'a468da91-408b-e7ad-9872-9dafbdd7d37c']
['Prizma II Bucky', '1ef3c871-45db-0f6d-fc34-8bb2685cd6c0']
['KINGDOM BUCKY', '4caa7fb0-4751-52f3-6eed-6ab6232be131']
['İridyum Kesiği Bucky', 'd1d98507-48c7-a7ed-003c-90b085632fb9']
['Sihirpunk Bucky', '78776175-4040-282f-07a1-0199b1fdcf58']
['2. Seviye Sihirpunk Bucky', '82fe02be-416e-f563-4fed-28b74d7c6675']
['3. Seviye Sihirpunk Bucky', 'e98fc056-4234-d1b9-7d0e-eeb0c41742ad']
['4. Seviye Sihirpunk Bucky', '3022b056-4d17-3b4a-a80d-22b096b977ec']
['GALERİ BUCKY', '03e03718-4c65-8a47-fb8b-78ba233cecd1']
['Başlangıç Bucky', 'bb3e45b2-4c4f-e0cb-c094-3a95261bba35']
['İyon Bucky', 'f00520c8-4b70-7255-d23c-c0a4887656a2']
['2. Seviye İyon Bucky', 'd8f0cad0-40a3-75a4-389b-5d8e91e9e157']
['3. Seviye İyon Bucky', 'b1a6a3d0-4c31-266e-0d66-5a960d452220']
['4. Seviye İyon Bucky', '18039610-4134-95f2-0791-e18a2e9f30dd']
['Oni Bucky', 'cdc130c2-4b12-3702-c8f6-5a8920746395']
['2. Seviye Oni Bucky', '8f1dbce8-4012-72a8-1e4f-d4b50cfc5bb8']
['3. Seviye Oni Bucky', 'b5e520a1-43a6-c144-e70d-918d90f05233']
['4. Seviye Oni Bucky', 'af478f2a-4dae-43d3-1545-7d96a65c60b1']
['Artizan Bucky', '5466bacf-446b-52a1-611d-339f6f376d40']
['Rasgele Favori Kaplama', 'e5c6d130-4226-cdac-8d03-1b97e907b8f9']
['Yerçekimsel Uranyum Nöroateşleyici Bucky', '22c0aaa3-4919-5a7b-90c0-2dacafdc32fe']
['2. Seviye Yerçekimsel Uranyum Nöroateşleyici Bucky', 'c91875e5-48a9-0820-6b65-aba73bf3479d']
['Işık Dalgası Bucky', '23885a08-4a77-82a7-5dbc-ec812f252ca0']
['Süvari Bucky', 'b6a089dd-4616-be48-4f28-d8b2a539c0a5']
['Demirdiken Bucky', '0771ccd2-40b0-54cf-37b4-c3b5cac03bdb']
['BUCKY', '2f5078c7-4381-492d-cc00-9f96966ba1ec']
['Havalı Bucky', '5f2ae626-44a5-b1c5-a879-98bc2fe587c6']
['809. Özel Kuvvet Frenzy', 'bea776cb-4d13-136a-be7f-639dbb7ba01e']
['RGX 11z Pro Frenzy', '6f2aefab-439d-140a-4dc6-87818e2d72cd']
['2. Seviye RGX 11z Pro Frenzy', '496447ae-41f4-278b-ff4a-e09f3272b287']
['3. Seviye RGX 11z Pro Frenzy', '0342399f-45e4-869d-4426-cd8dfc9e0007']
['4. Seviye RGX 11z Pro Frenzy', '61ceadee-4869-1676-4207-228ac4e19664']
['5. Seviye RGX 11z Pro Frenzy', '17ccfd06-4449-de46-2170-a29448d8f4aa']
['Uzaylı Avcısı Frenzy', '8f254346-439f-0e98-2428-62b0c669d2ae']
['2. Seviye Uzaylı Avcısı Frenzy', '59a1d043-41ad-111c-80c7-2a94d534819f']
['RAGNAROK FRENZY', 'b02520dd-48cd-466c-977d-529dc6a1d6f5']
['Köken Frenzy', 'c4547e69-47a7-dc52-d09c-94bbf87dba0a']
['2. Seviye Köken Frenzy', 'bcdaa979-4e4c-744c-6fd9-2381b2fc2341']
['3. Seviye Köken Frenzy', '4a42f394-4f6c-0b13-3e83-5a8bdf81e0f6']
['4. Seviye Köken Frenzy', 'd3496119-4338-51cb-793f-dda5845d38a5']
['Delipop Frenzy', '4b74b3ee-4a63-7339-a28f-8b8be010ca5a']
['2. Seviye Delipop Frenzy', 'eddc294e-45f1-026e-1362-70b4e1f1f03a']
['3. Seviye Delipop Frenzy', 'd89c07d2-4eab-3776-fa3e-d6abb0e18188']
['4. Seviye Delipop Frenzy', '71af2fc6-4a39-7c34-158f-abbd0eeb97e5']
['Ejder Ateşi Frenzy', 'ea65ba94-468d-39a8-5ded-98820d72d19f']
['2. Seviye Ejder Ateşi Frenzy', '63307028-4680-bbf3-a69f-7faad8113a49']
['3. Seviye Ejder Ateşi Frenzy', 'b86ea344-404d-de22-92c8-1b89c455c47d']
['4. Seviye Ejder Ateşi Frenzy', 'f70dc825-4be6-0074-0526-758b3f183152']
['Sermet Frenzy', '1ef9fcc9-4087-a079-616a-849f43c51665']
['AKINCI FRENZY', '3e32c58e-4347-e4b1-4502-6dab0dc516a8']
['Hız Tutkunu Frenzy', '01cba63e-457b-fab8-2252-96ae4344cbef']
['Takımın Ası Frenzy', '8a3d3cb5-4c8f-0604-b931-9388de1eabad']
['KESKİN KANAT FRENZY', '2f911f78-46e4-102a-f677-37a069c3a4dc']
['UFUK FRENZY', '7cd7c895-4da5-a3bc-3518-ff8d53af5151']
['HÜKÜMDAR FRENZY', 'ccbd02ca-442d-08b7-e862-e1a350266fb4']
['Ebruli Frenzy', 'c485b3df-4ea3-d457-e75b-35add7e78e7e']
['Asil//2.0 Frenzy', '2607b2c6-45f7-e75e-94f8-58a738773d5c']
['2. Seviye Asil//2.0 Frenzy', '5c29291f-45d5-d302-5cd8-38af2e1565eb']
['3. Seviye Asil//2.0 Frenzy', '5c5edc8b-407e-55b5-ae14-9bb555b4043b']
['4. Seviye Asil//2.0 Frenzy', 'ac9c073b-4dd0-28c4-3b6a-f09e3a25e60f']
['ÖZEL TASARIM FRENZY', '9d333ff1-47e2-04c7-2a26-688c08e9164d']
['Unutulmaz Frenzy', '55869fb8-4a79-e684-2000-028fa9f54060']
['SEMAVİ FRENZY', '4efc0af7-4623-cb2e-997c-6cbf2e5ddfb4']
['Koalisyon: Kobra Frenzy', '337b4e6a-46d8-8359-50c0-388717617044']
['İyon Frenzy', '64fcb53f-465d-318e-5bf9-bfa7c39b1d67']
['2. Seviye İyon Frenzy', '828b7634-4bea-0558-0383-94961e3019f3']
['3. Seviye İyon Frenzy', '396da3b7-4830-9e1e-5915-7dbba955b95c']
['4. Seviye İyon Frenzy', '76d90e0a-494a-8cdb-6c21-10b02f27ccc8']
['ATEŞ PÜSKÜREN FRENZY', '468505e6-46e2-af29-3974-5fbbe6bf212f']
['Havai Frenzy', '2f69bfe0-4126-4d2b-91b4-c9a2cb1909da']
['Uçan Domuzcuk Frenzy', 'e44b70cf-4e83-19d3-a748-5f849054dad7']
['Şenlik Frenzy', '5a773352-456e-ef0b-35ab-c99ead159264']
['Rasgele Favori Kaplama', 'dbf01b61-4639-696a-d17b-0b85c4e3feec']
['Işık Dalgası Frenzy', 'fe7ac291-4516-02d4-9101-0a990615a585']
['Demirdiken Frenzy', '47ee5cb6-4059-df8b-6d40-5daaa01ff49f']
['Elektrik Akımı Frenzy', '08e6ba32-4a6e-8680-df58-39af9c32cdac']
['FRENZY', '80fabd74-4438-a2dd-0c39-42ab449f9ec6']
['BlastX Frenzy', '31da3ec9-4eb0-ce9f-fcbb-e09ec626e748']
['2. Seviye BlastX Frenzy', '3ce662ff-410f-4ed6-1e81-94ad17a685e3']
['3. Seviye BlastX Frenzy', 'a37d950a-483a-ec0d-8ddb-218f726df65e']
['4. Seviye BlastX Frenzy', '79eabc1b-45ed-ea03-35f4-ffaadccfc675']
['RGX 11z Pro Classic', '90cd5d86-4516-918b-29af-07b116f63aa9']
['2. Seviye RGX 11z Pro Classic', '335af838-4f48-e2db-ca91-3d976aab34c2']
['3. Seviye RGX 11z Pro Classic', 'c11deaae-4528-af24-25c6-7f8d928951a5']
['4. Seviye RGX 11z Pro Classic', '44fb2542-45e5-f504-fdb5-fdb075ece7af']
['5. Seviye RGX 11z Pro Classic', '4c741d16-4ab3-873f-99e0-7ab0c0643f08']
['VALORANT GO! 2. Cilt Classic', '68ee5c6c-4424-e95a-f46f-c08ec2dfeb97']
['Spectrum Classic', 'fe32e4bd-420f-b4cc-de37-febb78df9e16']
['2. Seviye Spectrum Classic', 'dfa8a5fd-41bb-cb7f-a8c9-f4b9e1d1de26']
['3. Seviye Spectrum Classic', '345b4316-42d1-6e90-321d-fa930ef43762']
['4. Seviye Spectrum Classic', '40489a32-47c8-710c-5ed9-738a61a3db38']
['MİNNAK TABANCA CLASSIC', 'c2e41149-4f8b-e191-a0ae-5a94b80044f5']
['Hücum Classic', '564806a9-43fd-986e-7901-6790b6077a0d']
['Radyant Krizi 001 Classic', '13f3818c-4518-cf39-51f6-8cad1dc5bfc6']
['2. Seviye Radyant Krizi 001 Classic', 'e70a810d-4dc6-7d09-cb28-eabe004df4bb']
['3. Seviye Radyant Krizi 001 Classic', '499135d0-4848-c78c-21fc-5699a262fa95']
['KIRMIZI ALARM CLASSIC', 'd2b8b79b-4be7-4790-a356-4e9b06d3965e']
['Altşehir Classic', '1590d353-4b81-4207-b79a-5493231cbee7']
['Delipop Classic', '25cb63cd-416e-ab23-2377-d18638679871']
['2. Seviye Delipop Classic', '1a8103b0-4daf-2bee-6051-75a80cc49dce']
['3. Seviye Delipop Classic', 'f7b66f96-46af-4003-7b9c-9d86a18fead8']
['4. Seviye Delipop Classic', '748397a3-42c7-7482-3451-57a28b3af4c3']
['Zarafet Classic', '30f3e881-43d0-a455-b272-e8968c45761f']
['Elektro Classic', '29a5ecc2-4f93-068a-130a-b5a8a113fec9']
['ŞAKIYANÇELİK CLASSIC', '3e20522c-42ba-797e-b469-da88b5de7505']
['Yitik Classic', '81658642-4f78-cbb4-9e40-b8856a904bc7']
['2. Seviye Yitik Classic', '5ee11790-419d-af54-61da-9983470dddb5']
['3. Seviye Yitik Classic', '64b7415b-4425-6d04-9aae-d8ac9c502f8f']
['4. Seviye Yitik Classic', '0256f32e-4c05-d95f-5a98-1caa0a3f7d6f']
['Simli Classic', '54bce490-408d-3547-3d8a-aca353c2fa01']
['ROBO/TABANCA CLASSIC', 'e7822f41-4dc8-6fab-a931-4fb1bb7590ab']
['Altın Kanat Classic', 'ead87ff8-4cad-e895-fd07-57b4db148022']
['Asil Classic', 'c7695ce7-4fc9-1c79-64b3-8c8f9e21571c']
['2. Seviye Asil Classic', '7b2c1232-460b-ab9a-1eca-55b5aee9ad08']
['3. Seviye Asil Classic', '4fc58223-43e7-a868-a6df-5e93be31369c']
['4. Seviye Asil Classic', 'e8a35ddb-4ce7-3867-154c-94803ed12a24']
['BUZUL CLASSIC', '3800390c-4192-92d1-1703-33ba231fc226']
['Prizma III Classic', '01868af0-4d5c-6f65-5b77-b6bb5aadaf09']
['KINGDOM CLASSIC', '6ab90b28-49f1-9e1b-5083-2da2de61e109']
['Kohaku ve Matsuba Classic', '066f6d01-4940-606a-70f6-e78fb20f5d2d']
['FLAŞ CLASSIC', 'eb35e4e1-4138-9ece-08e2-69bd414cf598']
['Sarmal Classic', '1b300b91-41bb-d468-f65f-f68ec0861bd6']
['GALERİ CLASSIC', 'b8bc5d1b-44aa-aa83-0246-b1a6bb496177']
['Soğuk Çelik Classic', '59e65120-4806-491a-9e88-13a26c80ee3f']
['2. Seviye Soğuk Çelik Classic', '5383be6c-4249-5789-0836-eb985e826954']
['3. Seviye Soğuk Çelik Classic', '258fab16-4723-56bb-2fac-06951346be1e']
['9 Canlı Classic', 'b2ae014f-4c4e-1308-d1c7-e8bc70c46947']
['Büyük Çarpışma Classic', '8bd8c44c-4c30-947a-5531-a0b823d574ea']
['Rasgele Favori Kaplama', '1b9b82e2-4352-e339-f0f8-7d96d16b48e0']
['Yerçekimsel Uranyum Nöroateşleyici Classic', 'f35f6e13-4b7b-da38-c0de-5c91fffd584b']
['2. Seviye Yerçekimsel Uranyum Nöroateşleyici Classic', '6958fbf5-4708-f97e-92e1-c7abdf6724b1']
['SAKURA CLASSIC', 'df639108-4e9d-7fc1-51da-4dbb810ba011']
['Kar Diyarı Classic', 'f2a7150b-4894-0dc8-53b3-bf9a30fa4ea4']
['Sonsuz Classic', '03dc8f7e-46b0-e412-e335-47bb646fa057']
['CLASSIC', '51cbccad-487c-50ed-2ffd-c88b4240fab3']
['SON YOLCULUK CLASSIC', 'bbbe4b32-457c-e4fb-a674-1d9c3885d331']
['VALORANT GO! 1. CİLT GHOST', '2dd042e4-409e-c8ed-ec76-758529e49d99']
["Gaia'nın İntikamı Ghost", 'f7862f1f-4340-6e42-b1fa-0ebcdcf43456']
["2. Seviye Gaia'nın İntikamı Ghost", 'faced80a-4ebf-c35d-ef38-71a32b63a143']
["3. Seviye Gaia'nın İntikamı Ghost", '1694d232-4a90-7da9-dd1f-268626aa573d']
["4. Seviye Gaia'nın İntikamı Ghost", '13d0ce22-4c97-02a0-4e16-c7964d9b1332']
['Ufkun Sınırı Ghost', '80073abf-4fea-b06d-f70c-bdbe6d8ce0a7']
['Aztek Güneş Taşı Ghost', '8f9a3c0c-47ac-6032-7027-899c7e35958e']
['Yıldız Serüveni Ghost', '0235ff00-4ba4-2092-ea7d-b99299d7017f']
['Ateş Püsküren Ghost', 'c247790e-4a6b-a3f2-1e1f-ccae710b5179']
['.EXE Ghost', '9466088a-4ad8-cb08-ec9a-45aaba3a6acd']
['SESSİZ GHOST', 'afcb2528-4415-0178-98b1-c0a751092762']
['Ruh Azabı Ghost', '0296ff9b-4172-5a29-7d25-a7bf491b5bd4']
['2. Seviye Ruh Azabı Ghost - Her skorda aktifleşen özel görsel efekt ve ses', '0cb68ca8-4aff-9938-546c-1faed16b113f']
['MUHAREBE GHOST', 'a14fa0b5-4b03-2ad9-3b0e-a3ac6a0b033b']
['Altın Kanat Ghost', '9130e35d-49bb-027d-c536-96a8b63c3f1c']
['Karakol Ghost', '9fa5664e-45fa-2a52-68e4-db97d85c8a91']
['PRİZMA GHOST', '5546f723-4056-6700-80b8-f1b8d42e4952']
['VAKUR GHOST', 'de822d80-4e91-943d-3dd5-429513e7d177']
['Afet Ghost', '5e1f5465-40cd-2c0f-33ab-398c5367d080']
['2. Seviye Afet Ghost', '4ac6acb8-4b37-67fd-39ec-c6800ba7367f']
['3. Seviye Afet Ghost', 'e26a2676-4257-a963-cf70-bf9f52f1f318']
['4. Seviye Afet Ghost', 'b78f3320-444e-b936-637c-258505ea509d']
['GÖSTERİŞLİ GHOST', '68564c51-4f7e-67d1-fd0d-4e9d216356e8']
['Sihirpunk Ghost', '003e0991-4370-8837-f8fc-6ab3acec2dbf']
['2. Seviye Sihirpunk Ghost', 'b5ced653-45ca-9cd4-e6d5-8db020c6881d']
['3. Seviye Sihirpunk Ghost', 'aa704280-43ff-991e-c3d7-63abf43c8bd0']
['4. Seviye Sihirpunk Ghost', 'abf6805e-4def-f0f0-92cf-28bb67c46fed']
['Artizan Ghost', 'b70db444-4ede-9cee-25dd-35b2edb38cd5']
['Yapboz Ghost', 'd0793c86-471d-c60c-b0da-bcbadcd8bf12']
['Ay Tavşanı Ghost', '091e534b-4ad9-599e-c8fe-f99a568c7503']
['Rasgele Favori Kaplama', '7afbe865-4832-941b-049b-1397bd90d4d8']
['GALAKSİLERARASI GHOST', '55aaa4ee-4d64-51c7-3c09-fd9bcbe1d122']
['Gümüş Avcı Ghost', '04c6f57c-4463-f8b7-a475-6c89b2ec4416']
['Yağmacı Ghost', 'a6fe7710-4edc-5e23-223d-aeaef3d17866']
['2. Seviye Yağmacı Ghost', 'aef240db-4587-9d5d-bf89-eab5eeacf28e']
['3. Seviye Yağmacı Ghost', 'ab52517a-4a6c-0af9-1fc4-dbba07d6cd16']
['4. Seviye Yağmacı Ghost', '8ac0b94e-4b23-d9d2-8bc0-a7a34b477930']
['Fatih Ghost', 'ed8a1109-4e48-f077-636b-e98dd332bfcc']
['2. Seviye Fatih Ghost', '94b4e0f7-454d-0e5b-9f32-4d9fd399d8a2']
['3. Seviye Fatih Ghost', '5aa0593c-40fc-b9c4-9232-7f91f75b9fbd']
['4. Seviye Fatih Ghost', 'd5e747da-4d41-28e2-68b2-c5b41584f7cb']
['ÇAPRAŞIK ÂLEMLER GHOST', 'b9f4e6ea-4db2-6939-731f-0eb93cfbbb1d']
['Özel Harekât Ghost', '459343eb-4c56-4f10-ff2f-fbbf07d3695d']
['2. Seviye Özel Harekât Ghost', 'ee07b00e-4ef5-66dd-adae-91b90b1b8556']
['3. Seviye Özel Harekât Ghost', 'a2664625-480a-86ce-1ca6-609125252be2']
['Süvari Ghost', '7cee2791-457c-6017-cfba-bca7f61fc151']
['GHOST', '0a7e786c-444e-6a80-8bda-e2b714d68332']
['Sonik Patlama Ghost', '232f93cb-4c6e-512c-9961-db9b90929400']
['SUALTI GHOST', 'bb0450c4-47db-4fc7-d0c3-a8a5320d673b']
['Ego Ghost', 'f9fab42c-46bf-1bf0-dba5-32988be03fc2']
['KAN DAVASI GHOST', '4526a891-4754-da6c-7ada-95a8a259952e']
['Kış Harikası Ghost', 'd0fda3cb-454c-e81d-94e4-42942c99f02d']
['RUH SUSTURUCU GHOST', 'b85b3760-43bb-507d-323e-1682fa76d96b']
['Seyyah Sheriff', 'b9bf9657-411e-8fe3-b717-b99ba01fe07a']
['Ebedi Sheriff', 'd3f40fb9-40ec-b61f-7479-ceaded7b176a']
['ARİSTOKRAT SHERIFF', '6d4766d0-41f0-8493-93eb-a4902a0c6034']
['NEBULA SHERIFF', '353c1e5f-4258-c49a-c0d6-319ad33bffea']
['Zamanın Ötesi Sheriff', 'ade427fc-4b24-f290-c91a-b1904b787f42']
['2. Seviye Zamanın Ötesi Sheriff', '5ea7ae90-4b5c-bc7d-e1b4-25a1dae54e6d']
['3. Seviye Zamanın Ötesi Sheriff', 'dc7fb3f6-476b-fac7-2e2d-f4b1d1ed062d']
['4. Seviye Zamanın Ötesi Sheriff', '1e60239c-4322-aec5-8e82-f39cfb196f88']
['Derin Sular Sheriff', 'ae3986a0-4a43-7218-218f-63b8c5c7c63b']
['Anomali Sheriff', '4276d2b5-4b1c-b636-aff0-4ea579d875d7']
['2. Seviye Anomali Sheriff', '4a585df0-4bc4-17aa-1e5a-ccac42b07d12']
['3. Seviye Anomali Sheriff', 'f73b2921-4f40-918e-08eb-45abd9ce2b3c']
['4. Seviye Anomali Sheriff', '65c2c8d3-4473-4f74-305c-ff90fbf318e8']
['Elektro Sheriff', 'db36ee86-4aa7-249f-6745-5e9ddffa50b4']
['.SYS Sheriff', '6287a1f1-4d10-5190-86ec-659b26020e87']
['GÖZETİCİ SHERIFF', 'd9fc55c6-4b92-98ac-5052-2a8b5ca4fb71']
['Prizma II Sheriff', 'b6e6ea9e-432d-ec17-904e-62a5ea45f1a7']
['K/TAK SHERIFF', 'df35b7df-4add-58fb-418c-0dbea48b7e82']
['İridyum Kesiği Sheriff', 'c5ee573f-4f5d-e64c-240c-89a1d1be64a1']
['Sihirpunk Sheriff', '59733cf9-490b-e25b-2c6f-eca947628079']
['2. Seviye Sihirpunk Sheriff', 'c1e1dc78-44e1-1d94-171e-d7933d2828c7']
['3. Seviye Sihirpunk Sheriff', '43f79fbc-4a00-f0fc-0813-2cb8224ee6d3']
['4. Seviye Sihirpunk Sheriff', '892725e3-4c2a-0333-e43a-1da5896cd6a4']
['MİNİMA SHERIFF', '75b110de-40e5-3e02-d700-2abda38817c5']
['SILVANUS SHERIFF', '9dbc52e2-4889-cbe5-b874-4f8f0f8f3781']
['Kızıl Musibet Sheriff', '72586d88-46c4-1532-7507-d6bb5c2d201c']
['2. Seviye Kızıl Musibet Sheriff - Her skorda aktifleşen özel görsel efekt ve ses', '11217acc-4f12-d9fe-60a4-88b32f355bd2']
['İyon Sheriff', '2b555f97-46bb-5949-3531-979f5bc817f0']
['2. Seviye İyon Sheriff', 'a60421b9-4b86-ccd3-ca08-808ef4cf112b']
['3. Seviye İyon Sheriff', '1ad8e7b3-4547-0890-aa8d-d79be028e48f']
['4. Seviye İyon Sheriff', 'becd58d6-4da0-db56-a748-35923d2750e1']
['KÜBİK TİLKİ SHERIFF', '02f45c84-427c-d575-945f-ba913a732b72']
['Kübik Kurbağa Sheriff', '54ab75c2-42f2-544f-f4f2-ce9ca9180f6b']
['Protokol 781-A Sheriff', '12831559-44ee-c708-b97c-29a43938e3cd']
['2. Seviye Protokol 781-A Sheriff', '62edd453-4fc5-2ad4-0531-a9aa941aeb8e']
['3. Seviye Protokol 781-A Sheriff', '7f084312-45f8-38f6-8ab8-10ac6bef0685']
['4. Seviye Protokol 781-A Sheriff', '718ddb3a-42a1-6d78-329f-49b8a2705835']
['5. Seviye Protokol 781-A Sheriff - Yerelleştirilmiş seslendirmeler bölgende farklılık gösterebilir', 'caf49d9b-4acc-bc39-4adb-29a11802a700']
['Rasgele Favori Kaplama', '94d0ca9c-444b-f762-17a5-908ef1418bc3']
['Işık Dalgası Sheriff', 'dd024421-4c2a-7126-b58e-fea865a45aa9']
['SAKURA SHERIFF', 'c8652efa-462f-d455-20b0-699dd00a9e2a']
['BARIŞÇIL SHERIFF', 'ec570f46-4751-eeb6-7739-069bcbb8d05a']
['Şematik Sheriff', 'b5601f65-4467-7946-8a37-45bed5514f98']
['Işık Muhafızları Sheriff', '746a022b-48a9-c51b-f379-11a3e1e2bc8e']
['2. Seviye Işık Muhafızları Sheriff', 'fe88374e-4f4e-7736-38d6-fab5df49567b']
['3. Seviye Işık Muhafızları Sheriff', 'adb6d5c9-4049-9878-cf16-36b19239d0f5']
['4. Seviye Işık Muhafızları Sheriff', '894383ad-4945-3a91-a52c-8f8323a5c59b']
['Yağmacı Sheriff', '4e4ebb8d-41d0-c326-595a-1f9b257e91fa']
['2. Seviye Yağmacı Sheriff', 'ab5c63fc-46c0-8c7d-1d67-0da96d4b8cf7']
['3. Seviye Yağmacı Sheriff', 'ef84244d-4f04-01dd-36ba-c7b97a688754']
['4. Seviye Yağmacı Sheriff', 'a47a0d1b-4405-9de7-6011-68a9a4a1f36d']
