['異星獵人 奧丁', '89baf0f4-4648-69fc-f0af-2fbc69b97b80']
['冬慶樂園 幻象', '63a65008-4266-1117-fe3d-d1bf290b7da9']
['太陽之石 判官', 'd73d6605-40b3-6a79-ad77-adbfc2e20742']
['地下城 判官', 'f27be4ed-4fa5-9c3a-592a-b98bb455fd12']
['電幻普普 判官', '712c7a37-4524-0b27-dfdd-4e95181dd36e']
['電幻普普 判官 等級2', 'c9480c4d-4005-8cd9-e1a2-18bed7f2e801']
['電幻普普 判官 等級3', '6f48190c-403c-3a92-1a89-f983fa9281db']
['電幻普普 判官 等級4', 'c60c98e3-41de-ed9c-fb92-aa9c6e0bc7a0']
['虛無時界 判官', 'b0d5c4da-4d81-4386-e841-759818ce9b6c']
['虛無時界 判官 等級2', 'c6065860-4afc-ef16-97a0-c88445221a2c']
['虛無時界 判官 等級3', '6ee35273-4fe5-c352-1332-57b0eb04ccac']
['虛無時界 判官 等級4', 'b05f2a52-40c9-10de-9c90-2ca8e01a5da4']
['至尊龍燄 判官', 'd8c9fee3-4e02-bc92-a235-608a556905ae']
['至尊龍燄 判官 等級2', '640764d8-495d-3663-27ab-b99f5f2466d6']
['至尊龍燄 判官 等級3', 'd95e4b3c-4081-4005-cae7-14b890046b4f']
['至尊龍燄 判官 等級4', 'd41a4383-4c15-4c3f-1f16-4fbb4fb36ed8']
['突襲 判官', '33d3c906-4305-19cf-8770-1eb5207482cc']
['王牌戰隊 判官', 'ca41d64f-4622-593f-382e-0484a1a3dd6b']
['微光之塵 判官', 'e6bdb298-4372-7c74-a057-f891a3ade5e7']
['.EXE 判官', 'f8cd4279-4530-db62-1e4e-aa82c129b045']
['黃金之翼 判官', '77dd3407-4580-9734-a0bb-6b80a4e5be3e']
['旋藝水印 判官', '2a25f841-4769-6536-ded3-8890ee26c430']
['鐵色工哨 判官', '11e342ba-4f18-b9ab-964e-e48fdf610890']
['稜鏡III 判官', 'b3e563fe-4a91-6070-4582-7ca51d62631a']
['奢雕剛玉 判官', '4afdc818-4665-1582-6319-8081aa64e550']
['赤珀墨松 判官', 'ccf16a23-4222-1abe-d8f0-93a782b5b449']
['機轟雷擊 判官', '1b94d997-4db6-014f-4cb8-c1b4df7d7ebc']
['虹鏡荊棘 判官', '7fa021e2-4881-d71e-f7a1-a6947b4b48d9']
['天月耀春 判官', '4f45735c-4513-e9a6-48ac-35acca4c3410']
['稀土金屬 判官', 'cfeb4b7a-4310-796c-db4e-fb9844823992']
['眼鏡蛇聯軍 判官', 'fe644484-4d07-5472-9e4a-d3992f2f2ecb']
['紅蓮猛獸 判官', '8c02ea4f-45ce-76ba-9ea6-198156deb9eb']
['紅蓮猛獸 判官 等級2：每次擊殺敵人時，都會播放專屬視覺特效及音效。', 'e1401626-424d-a263-2b60-4eb2147c096c']
['極限稜狐 判官', '3c23fdc3-4300-ec78-5123-bcb0dc456473']
['天使豬 判官', '7ae57ece-4560-236b-5bdb-5f8ee2c294b2']
['拼圖狂想曲 判官', 'a1c04a89-45e6-0406-9e1a-668cd772fc63']
['漆彩轟擊 判官', '65ed014b-4279-8ba5-01d3-f48d4e7f115c']
['隨機最愛造型', '69dd1d46-422b-ec24-6dc1-fb848d445ef4']
['魔幻冬雪 判官', 'e1b5cdca-4df5-5c4e-f34a-3cbdd3fd8735']
['判官', '6942d8d1-4370-a144-2140-22a6d2be2697']
['音波衝擊 判官', '5a93b96b-4b27-c478-0dae-c89077561adb']
['異裝凸鏡 判官', '73e91435-4a2a-2552-d541-eb961e168f2c']
['漆面皮革 判官', '07ac5e03-42e6-0fd9-b8fa-4d9f059b904f']
['異星獵人 重砲', '01a984b8-4b91-ab61-60b9-1bb9ce54bd04']
['異星獵人 重砲 等級2', 'a3073107-4927-808c-acce-e0972543f75a']
['太陽之石 重砲', '154dea46-45a7-828d-5e0a-b9b3e4f7d7e3']
['起源 重砲', '56042ce2-4f95-19be-7cac-5fb191683953']
['起源 重砲 等級2', 'd7ba0b3f-445b-1075-69b9-ebb3d79f7cc6']
['起源 重砲 等級3', '36f894b7-49ae-251d-d6c1-6ba43588feb0']
['起源 重砲 等級4', '52790992-4d3d-cca0-87cd-f8a54cb1a919']
['輻能危機001 重砲', 'bddfd0ba-49a1-0f4f-e32a-d5a1ed29d5fc']
['輻能危機001 重砲 等級2', '9485c7ec-4869-5454-165f-08898e934835']
['輻能危機001 重砲 等級3', '587f57bf-495d-2201-1db4-71aa270dd589']
['紅色警戒 重砲', '633521c9-42ae-d2be-78c1-a09b25af7d10']
['電浪流藝 重砲', '1e7be2e9-418e-7f39-d879-a8912be1d3ab']
['.SYS 重砲', 'b7652717-49c0-b658-529e-6f8146ab0eca']
['地界燦霞 重砲', 'f7425a39-43ca-e1fe-5b2b-56a51ed479c5']
['無雙君紋 重砲', 'a773dd2f-4027-4b98-8d4b-5ea0c7924883']
['旋藝水印 重砲', '338bb3e6-4c47-425d-32a5-5ea1a96c78ae']
['紫金狂潮//2.0 重砲', 'f987be1f-4287-35a4-34a9-d6a92805e7ff']
['紫金狂潮//2.0 重砲 等級2', 'bb7700ba-44a7-fac9-0a8b-969412238fd4']
['紫金狂潮//2.0 重砲 等級3', '1db224e3-49b7-eba5-0c94-779238480de1']
['紫金狂潮//2.0 重砲 等級4', 'a468da91-408b-e7ad-9872-9dafbdd7d37c']
['稜鏡II 重砲', '1ef3c871-45db-0f6d-fc34-8bb2685cd6c0']
['王國 重砲', '4caa7fb0-4751-52f3-6eed-6ab6232be131']
['虹鏡荊棘 重砲', 'd1d98507-48c7-a7ed-003c-90b085632fb9']
['奇幻龐克 重砲', '78776175-4040-282f-07a1-0199b1fdcf58']
['奇幻龐克 重砲 等級2', '82fe02be-416e-f563-4fed-28b74d7c6675']
['奇幻龐克 重砲 等級3', 'e98fc056-4234-d1b9-7d0e-eeb0c41742ad']
['奇幻龐克 重砲 等級4', '3022b056-4d17-3b4a-a80d-22b096b977ec']
['藝境 重砲', '03e03718-4c65-8a47-fb8b-78ba233cecd1']
['宇宙創始 重砲', 'bb3e45b2-4c4f-e0cb-c094-3a95261bba35']
['離子聖芒 重砲', 'f00520c8-4b70-7255-d23c-c0a4887656a2']
['離子聖芒 重砲 等級2', 'd8f0cad0-40a3-75a4-389b-5d8e91e9e157']
['離子聖芒 重砲 等級3', 'b1a6a3d0-4c31-266e-0d66-5a960d452220']
['離子聖芒 重砲 等級4', '18039610-4134-95f2-0791-e18a2e9f30dd']
['惡鬼 重砲', 'cdc130c2-4b12-3702-c8f6-5a8920746395']
['惡鬼 重砲 等級2', '8f1dbce8-4012-72a8-1e4f-d4b50cfc5bb8']
['惡鬼 重砲 等級3', 'b5e520a1-43a6-c144-e70d-918d90f05233']
['惡鬼 重砲 等級4', 'af478f2a-4dae-43d3-1545-7d96a65c60b1']
['瓷藝匠心 重砲', '5466bacf-446b-52a1-611d-339f6f376d40']
['隨機最愛造型', 'e5c6d130-4226-cdac-8d03-1b97e907b8f9']
['重力鈾能神經爆破者 重砲', '22c0aaa3-4919-5a7b-90c0-2dacafdc32fe']
['重力鈾能神經爆破者 重砲 等級2', 'c91875e5-48a9-0820-6b65-aba73bf3479d']
['炫彩光譜 重砲', '23885a08-4a77-82a7-5dbc-ec812f252ca0']
['銀閃騎兵 重砲', 'b6a089dd-4616-be48-4f28-d8b2a539c0a5']
['泰坦刺甲 重砲', '0771ccd2-40b0-54cf-37b4-c3b5cac03bdb']
['重砲', '2f5078c7-4381-492d-cc00-9f96966ba1ec']
['街頭藝術 重砲', '5f2ae626-44a5-b1c5-a879-98bc2fe587c6']
['809特遣隊 狂弒', 'bea776cb-4d13-136a-be7f-639dbb7ba01e']
['RGX 11z Pro 狂弒', '6f2aefab-439d-140a-4dc6-87818e2d72cd']
['RGX 11z Pro 狂弒 等級2', '496447ae-41f4-278b-ff4a-e09f3272b287']
['RGX 11z Pro 狂弒 等級3', '0342399f-45e4-869d-4426-cd8dfc9e0007']
['RGX 11z Pro 狂弒 等級4', '61ceadee-4869-1676-4207-228ac4e19664']
['RGX 11z Pro 狂弒 等級5', '17ccfd06-4449-de46-2170-a29448d8f4aa']
['異星獵人 狂弒', '8f254346-439f-0e98-2428-62b0c669d2ae']
['異星獵人 狂弒 等級2', '59a1d043-41ad-111c-80c7-2a94d534819f']
['諸神狂歡 狂弒', 'b02520dd-48cd-466c-977d-529dc6a1d6f5']
['起源 狂弒', 'c4547e69-47a7-dc52-d09c-94bbf87dba0a']
['起源 狂弒 等級2', 'bcdaa979-4e4c-744c-6fd9-2381b2fc2341']
['起源 狂弒 等級3', '4a42f394-4f6c-0b13-3e83-5a8bdf81e0f6']
['起源 狂弒 等級4', 'd3496119-4338-51cb-793f-dda5845d38a5']
['電幻普普 狂弒', '4b74b3ee-4a63-7339-a28f-8b8be010ca5a']
['電幻普普 狂弒 等級2', 'eddc294e-45f1-026e-1362-70b4e1f1f03a']
['電幻普普 狂弒 等級3', 'd89c07d2-4eab-3776-fa3e-d6abb0e18188']
['電幻普普 狂弒 等級4', '71af2fc6-4a39-7c34-158f-abbd0eeb97e5']
['至尊龍燄 狂弒', 'ea65ba94-468d-39a8-5ded-98820d72d19f']
['至尊龍燄 狂弒 等級2', '63307028-4680-bbf3-a69f-7faad8113a49']
['至尊龍燄 狂弒 等級3', 'b86ea344-404d-de22-92c8-1b89c455c47d']
['至尊龍燄 狂弒 等級4', 'f70dc825-4be6-0074-0526-758b3f183152']
['永恆之沙 狂弒', '1ef9fcc9-4087-a079-616a-849f43c51665']
['突襲 狂弒', '3e32c58e-4347-e4b1-4502-6dab0dc516a8']
['流體效應 狂弒', '01cba63e-457b-fab8-2252-96ae4344cbef']
['王牌戰隊 狂弒', '8a3d3cb5-4c8f-0604-b931-9388de1eabad']
['飛掠 狂弒', '2f911f78-46e4-102a-f677-37a069c3a4dc']
['地界燦霞 狂弒', '7cd7c895-4da5-a3bc-3518-ff8d53af5151']
['無雙君紋 狂弒', 'ccbd02ca-442d-08b7-e862-e1a350266fb4']
['旋藝水印 狂弒', 'c485b3df-4ea3-d457-e75b-35add7e78e7e']
['紫金狂潮//2.0 狂弒', '2607b2c6-45f7-e75e-94f8-58a738773d5c']
['紫金狂潮//2.0 狂弒 等級2', '5c29291f-45d5-d302-5cd8-38af2e1565eb']
['紫金狂潮//2.0 狂弒 等級3', '5c5edc8b-407e-55b5-ae14-9bb555b4043b']
['紫金狂潮//2.0 狂弒 等級4', 'ac9c073b-4dd0-28c4-3b6a-f09e3a25e60f']
['時裝 狂弒', '9d333ff1-47e2-04c7-2a26-688c08e9164d']
['永垂不朽 狂弒', '55869fb8-4a79-e684-2000-028fa9f54060']
['天月耀春 狂弒', '4efc0af7-4623-cb2e-997c-6cbf2e5ddfb4']
['眼鏡蛇聯軍 狂弒', '337b4e6a-46d8-8359-50c0-388717617044']
['離子聖芒 狂弒', '64fcb53f-465d-318e-5bf9-bfa7c39b1d67']
['離子聖芒 狂弒 等級2', '828b7634-4bea-0558-0383-94961e3019f3']
['離子聖芒 狂弒 等級3', '396da3b7-4830-9e1e-5915-7dbba955b95c']
['離子聖芒 狂弒 等級4', '76d90e0a-494a-8cdb-6c21-10b02f27ccc8']
['火噴英烈 狂弒', '468505e6-46e2-af29-3974-5fbbe6bf212f']
['航創未來 狂弒', '2f69bfe0-4126-4d2b-91b4-c9a2cb1909da']
['天使豬 狂弒', 'e44b70cf-4e83-19d3-a748-5f849054dad7']
['漆彩轟擊 狂弒', '5a773352-456e-ef0b-35ab-c99ead159264']
['隨機最愛造型', 'dbf01b61-4639-696a-d17b-0b85c4e3feec']
['炫彩光譜 狂弒', 'fe7ac291-4516-02d4-9101-0a990615a585']
['泰坦刺甲 狂弒', '47ee5cb6-4059-df8b-6d40-5daaa01ff49f']
['電力四射 狂弒', '08e6ba32-4a6e-8680-df58-39af9c32cdac']
['狂弒', '80fabd74-4438-a2dd-0c39-42ab449f9ec6']
['咻咻X 狂弒', '31da3ec9-4eb0-ce9f-fcbb-e09ec626e748']
['咻咻X 狂弒 等級2', '3ce662ff-410f-4ed6-1e81-94ad17a685e3']
['咻咻X 狂弒 等級3', 'a37d950a-483a-ec0d-8ddb-218f726df65e']
['咻咻X 狂弒 等級4', '79eabc1b-45ed-ea03-35f4-ffaadccfc675']
['RGX 11z Pro 制式手槍', '90cd5d86-4516-918b-29af-07b116f63aa9']
['RGX 11z Pro 制式手槍 等級2', '335af838-4f48-e2db-ca91-3d976aab34c2']
['RGX 11z Pro 制式手槍 等級3', 'c11deaae-4528-af24-25c6-7f8d928951a5']
['RGX 11z Pro 制式手槍 等級4', '44fb2542-45e5-f504-fdb5-fdb075ece7af']
['RGX 11z Pro 制式手槍 等級5', '4c741d16-4ab3-873f-99e0-7ab0c0643f08']
['特戰英豪 GO！第2集 制式手槍', '68ee5c6c-4424-e95a-f46f-c08ec2dfeb97']
['光炫聲譜 制式手槍', 'fe32e4bd-420f-b4cc-de37-febb78df9e16']
['光炫聲譜 制式手槍 等級2', 'dfa8a5fd-41bb-cb7f-a8c9-f4b9e1d1de26']
['光炫聲譜 制式手槍 等級3', '345b4316-42d1-6e90-321d-fa930ef43762']
['光炫聲譜 制式手槍 等級4', '40489a32-47c8-710c-5ed9-738a61a3db38']
['小槍仔 制式手槍', 'c2e41149-4f8b-e191-a0ae-5a94b80044f5']
['閃電衝鋒 制式手槍', '564806a9-43fd-986e-7901-6790b6077a0d']
['輻能危機001 制式手槍', '13f3818c-4518-cf39-51f6-8cad1dc5bfc6']
['輻能危機001 制式手槍 等級2', 'e70a810d-4dc6-7d09-cb28-eabe004df4bb']
['輻能危機001 制式手槍 等級3', '499135d0-4848-c78c-21fc-5699a262fa95']
['紅色警戒 制式手槍', 'd2b8b79b-4be7-4790-a356-4e9b06d3965e']
['地下城 制式手槍', '1590d353-4b81-4207-b79a-5493231cbee7']
['電幻普普 制式手槍', '25cb63cd-416e-ab23-2377-d18638679871']
['電幻普普 制式手槍 等級2', '1a8103b0-4daf-2bee-6051-75a80cc49dce']
['電幻普普 制式手槍 等級3', 'f7b66f96-46af-4003-7b9c-9d86a18fead8']
['電幻普普 制式手槍 等級4', '748397a3-42c7-7482-3451-57a28b3af4c3']
['藝高膽大 制式手槍', '30f3e881-43d0-a455-b272-e8968c45761f']
['電浪流藝 制式手槍', '29a5ecc2-4f93-068a-130a-b5a8a113fec9']
['冷銀祕鋼 制式手槍', '3e20522c-42ba-797e-b469-da88b5de7505']
['棄王遺思 制式手槍', '81658642-4f78-cbb4-9e40-b8856a904bc7']
['棄王遺思 制式手槍 等級2', '5ee11790-419d-af54-61da-9983470dddb5']
['棄王遺思 制式手槍 等級3', '64b7415b-4425-6d04-9aae-d8ac9c502f8f']
['棄王遺思 制式手槍 等級4', '0256f32e-4c05-d95f-5a98-1caa0a3f7d6f']
['微光之塵 制式手槍', '54bce490-408d-3547-3d8a-aca353c2fa01']
['FIRE/arm 制式手槍', 'e7822f41-4dc8-6fab-a931-4fb1bb7590ab']
['黃金之翼 制式手槍', 'ead87ff8-4cad-e895-fd07-57b4db148022']
['紫金狂潮 制式手槍', 'c7695ce7-4fc9-1c79-64b3-8c8f9e21571c']
['紫金狂潮 制式手槍 等級2', '7b2c1232-460b-ab9a-1eca-55b5aee9ad08']
['紫金狂潮 制式手槍 等級3', '4fc58223-43e7-a868-a6df-5e93be31369c']
['紫金狂潮 制式手槍 等級4', 'e8a35ddb-4ce7-3867-154c-94803ed12a24']
['雪崩 制式手槍', '3800390c-4192-92d1-1703-33ba231fc226']
['稜鏡III 制式手槍', '01868af0-4d5c-6f65-5b77-b6bb5aadaf09']
['王國 制式手槍', '6ab90b28-49f1-9e1b-5083-2da2de61e109']
['赤珀墨松 制式手槍', '066f6d01-4940-606a-70f6-e78fb20f5d2d']
['機轟雷擊 制式手槍', 'eb35e4e1-4138-9ece-08e2-69bd414cf598']
['百轉弧光 制式手槍', '1b300b91-41bb-d468-f65f-f68ec0861bd6']
['藝境 制式手槍', 'b8bc5d1b-44aa-aa83-0246-b1a6bb496177']
['深度凍結 制式手槍', '59e65120-4806-491a-9e88-13a26c80ee3f']
['深度凍結 制式手槍 等級2', '5383be6c-4249-5789-0836-eb985e826954']
['深度凍結 制式手槍 等級3', '258fab16-4723-56bb-2fac-06951346be1e']
['九命靈貓 制式手槍', 'b2ae014f-4c4e-1308-d1c7-e8bc70c46947']
['輻能衝撞 制式手槍', '8bd8c44c-4c30-947a-5531-a0b823d574ea']
['隨機最愛造型', '1b9b82e2-4352-e339-f0f8-7d96d16b48e0']
['重力鈾能神經爆破者 制式手槍 ', 'f35f6e13-4b7b-da38-c0de-5c91fffd584b']
['重力鈾能神經爆破者 制式手槍 等級2', '6958fbf5-4708-f97e-92e1-c7abdf6724b1']
['櫻花 制式手槍', 'df639108-4e9d-7fc1-51da-4dbb810ba011']
['魔幻冬雪 制式手槍', 'f2a7150b-4894-0dc8-53b3-bf9a30fa4ea4']
['極速無限 制式手槍', '03dc8f7e-46b0-e412-e335-47bb646fa057']
['制式手槍', '51cbccad-487c-50ed-2ffd-c88b4240fab3']
['終末密室 制式手槍', 'bbbe4b32-457c-e4fb-a674-1d9c3885d331']
['特戰英豪 GO！第1集 鬼魅', '2dd042e4-409e-c8ed-ec76-758529e49d99']
['蓋亞復仇 鬼魅', 'f7862f1f-4340-6e42-b1fa-0ebcdcf43456']
['蓋亞復仇 鬼魅 等級2', 'faced80a-4ebf-c35d-ef38-71a32b63a143']
['蓋亞復仇 鬼魅 等級3', '1694d232-4a90-7da9-dd1f-268626aa573d']
['蓋亞復仇 鬼魅 等級4', '13d0ce22-4c97-02a0-4e16-c7964d9b1332']
['太空漫遊 鬼魅', '80073abf-4fea-b06d-f70c-bdbe6d8ce0a7']
['太陽之石 鬼魅', '8f9a3c0c-47ac-6032-7027-899c7e35958e']
['星光漫旅 鬼魅', '0235ff00-4ba4-2092-ea7d-b99299d7017f']
['火噴英烈 鬼魅', 'c247790e-4a6b-a3f2-1e1f-ccae710b5179']
['.EXE 鬼魅', '9466088a-4ad8-cb08-ec9a-45aaba3a6acd']
['密而不宣 鬼魅', 'afcb2528-4415-0178-98b1-c0a751092762']
['靈爭鬪魂 鬼魅', '0296ff9b-4172-5a29-7d25-a7bf491b5bd4']
['靈爭鬪魂 鬼魅 等級2：每次擊殺敵人時，都會播放專屬視覺特效及音效', '0cb68ca8-4aff-9938-546c-1faed16b113f']
['機動步兵 鬼魅', 'a14fa0b5-4b03-2ad9-3b0e-a3ac6a0b033b']
['黃金之翼 鬼魅', '9130e35d-49bb-027d-c536-96a8b63c3f1c']
['鐵色工哨 鬼魅', '9fa5664e-45fa-2a52-68e4-db97d85c8a91']
['稜鏡 鬼魅', '5546f723-4056-6700-80b8-f1b8d42e4952']
['奢雕剛玉 鬼魅', 'de822d80-4e91-943d-3dd5-429513e7d177']
['殞落詛咒 鬼魅', '5e1f5465-40cd-2c0f-33ab-398c5367d080']
['殞落詛咒 鬼魅 等級2', '4ac6acb8-4b37-67fd-39ec-c6800ba7367f']
['殞落詛咒 鬼魅 等級3', 'e26a2676-4257-a963-cf70-bf9f52f1f318']
['殞落詛咒 鬼魅 等級4', 'b78f3320-444e-b936-637c-258505ea509d']
['稀土金屬 鬼魅', '68564c51-4f7e-67d1-fd0d-4e9d216356e8']
['奇幻龐克 鬼魅', '003e0991-4370-8837-f8fc-6ab3acec2dbf']
['奇幻龐克 鬼魅 等級2', 'b5ced653-45ca-9cd4-e6d5-8db020c6881d']
['奇幻龐克 鬼魅 等級3', 'aa704280-43ff-991e-c3d7-63abf43c8bd0']
['奇幻龐克 鬼魅 等級4', 'abf6805e-4def-f0f0-92cf-28bb67c46fed']
['瓷藝匠心 鬼魅', 'b70db444-4ede-9cee-25dd-35b2edb38cd5']
['拼圖狂想曲 鬼魅', 'd0793c86-471d-c60c-b0da-bcbadcd8bf12']
['流光玉兔 鬼魅', '091e534b-4ad9-599e-c8fe-f99a568c7503']
['隨機最愛造型', '7afbe865-4832-941b-049b-1397bd90d4d8']
['月蝕 鬼魅', '55aaa4ee-4d64-51c7-3c09-fd9bcbe1d122']
['狼人剋星 鬼魅', '04c6f57c-4463-f8b7-a475-6c89b2ec4416']
['掠奪印象 鬼魅', 'a6fe7710-4edc-5e23-223d-aeaef3d17866']
['掠奪印象 鬼魅 等級2', 'aef240db-4587-9d5d-bf89-eab5eeacf28e']
['掠奪印象 鬼魅 等級3', 'ab52517a-4a6c-0af9-1fc4-dbba07d6cd16']
['掠奪印象 鬼魅 等級4', '8ac0b94e-4b23-d9d2-8bc0-a7a34b477930']
['鎏金帝王 鬼魅', 'ed8a1109-4e48-f077-636b-e98dd332bfcc']
['鎏金帝王 鬼魅 等級2', '94b4e0f7-454d-0e5b-9f32-4d9fd399d8a2']
['鎏金帝王 鬼魅 等級3', '5aa0593c-40fc-b9c4-9232-7f91f75b9fbd']
['鎏金帝王 鬼魅 等級4', 'd5e747da-4d41-28e2-68b2-c5b41584f7cb']
['祕繫之域 鬼魅', 'b9f4e6ea-4db2-6939-731f-0eb93cfbbb1d']
['偵察行動 鬼魅', '459343eb-4c56-4f10-ff2f-fbbf07d3695d']
['偵察行動 鬼魅 等級2', 'ee07b00e-4ef5-66dd-adae-91b90b1b8556']
['偵察行動 鬼魅 等級3', 'a2664625-480a-86ce-1ca6-609125252be2']
['銀閃騎兵 鬼魅', '7cee2791-457c-6017-cfba-bca7f61fc151']
['鬼魅', '0a7e786c-444e-6a80-8bda-e2b714d68332']
['音波衝擊 鬼魅', '232f93cb-4c6e-512c-9961-db9b90929400']
['海底迷情 鬼魅', 'bb0450c4-47db-4fc7-d0c3-a8a5320d673b']
['無人之境 鬼魅', 'f9fab42c-46bf-1bf0-dba5-32988be03fc2']
['仇殺不息 鬼魅', '4526a891-4754-da6c-7ada-95a8a259952e']
['冬慶樂園 鬼魅', 'd0fda3cb-454c-e81d-94e4-42942c99f02d']
['魂音沉默者 鬼魅', 'b85b3760-43bb-507d-323e-1682fa76d96b']
['浪跡江湖 神射', 'b9bf9657-411e-8fe3-b717-b99ba01fe07a']
['千古不滅 神射', 'd3f40fb9-40ec-b61f-7479-ceaded7b176a']
['貴族 神射', '6d4766d0-41f0-8493-93eb-a4902a0c6034']
['百變星雲 神射', '353c1e5f-4258-c49a-c0d6-319ad33bffea']
['虛無時界 神射', 'ade427fc-4b24-f290-c91a-b1904b787f42']
['虛無時界 神射 等級2', '5ea7ae90-4b5c-bc7d-e1b4-25a1dae54e6d']
['虛無時界 神射 等級3', 'dc7fb3f6-476b-fac7-2e2d-f4b1d1ed062d']
['虛無時界 神射 等級4', '1e60239c-4322-aec5-8e82-f39cfb196f88']
['無盡海淵 神射', 'ae3986a0-4a43-7218-218f-63b8c5c7c63b']
['奇點 神射', '4276d2b5-4b1c-b636-aff0-4ea579d875d7']
['奇點 神射 等級2', '4a585df0-4bc4-17aa-1e5a-ccac42b07d12']
['奇點 神射 等級3', 'f73b2921-4f40-918e-08eb-45abd9ce2b3c']
['奇點 神射 等級4', '65c2c8d3-4473-4f74-305c-ff90fbf318e8']
['電浪流藝 神射', 'db36ee86-4aa7-249f-6745-5e9ddffa50b4']
['.SYS 神射', '6287a1f1-4d10-5190-86ec-659b26020e87']
['守護者 神射', 'd9fc55c6-4b92-98ac-5052-2a8b5ca4fb71']
['稜鏡II 神射', 'b6e6ea9e-432d-ec17-904e-62a5ea45f1a7']
['K/TAC 神射', 'df35b7df-4add-58fb-418c-0dbea48b7e82']
['虹鏡荊棘 神射', 'c5ee573f-4f5d-e64c-240c-89a1d1be64a1']
['奇幻龐克 神射', '59733cf9-490b-e25b-2c6f-eca947628079']
['奇幻龐克 神射 等級2', 'c1e1dc78-44e1-1d94-171e-d7933d2828c7']
['奇幻龐克 神射 等級3', '43f79fbc-4a00-f0fc-0813-2cb8224ee6d3']
['奇幻龐克 神射 等級4', '892725e3-4c2a-0333-e43a-1da5896cd6a4']
['極簡武力 神射', '75b110de-40e5-3e02-d700-2abda38817c5']
['密林樹神 神射', '9dbc52e2-4889-cbe5-b874-4f8f0f8f3781']
['紅蓮猛獸 神射', '72586d88-46c4-1532-7507-d6bb5c2d201c']
['紅蓮猛獸 神射 等級2：每次擊殺敵人時，都會播放專屬視覺特效及音效。', '11217acc-4f12-d9fe-60a4-88b32f355bd2']
['離子聖芒 神射', '2b555f97-46bb-5949-3531-979f5bc817f0']
['離子聖芒 神射 等級2', 'a60421b9-4b86-ccd3-ca08-808ef4cf112b']
['離子聖芒 神射 等級3', '1ad8e7b3-4547-0890-aa8d-d79be028e48f']
['離子聖芒 神射 等級4', 'becd58d6-4da0-db56-a748-35923d2750e1']
['極限稜狐 神射', '02f45c84-427c-d575-945f-ba913a732b72']
['極限稜蛙 神射', '54ab75c2-42f2-544f-f4f2-ce9ca9180f6b']
['781-A協定 神射', '12831559-44ee-c708-b97c-29a43938e3cd']
['781-A協定 神射 等級2', '62edd453-4fc5-2ad4-0531-a9aa941aeb8e']
['781-A協定 神射 等級3', '7f084312-45f8-38f6-8ab8-10ac6bef0685']
['781-A協定 神射 等級4', '718ddb3a-42a1-6d78-329f-49b8a2705835']
['781-A協定 神射 等級5：在地化語音可能會因地區而異', 'caf49d9b-4acc-bc39-4adb-29a11802a700']
['隨機最愛造型', '94d0ca9c-444b-f762-17a5-908ef1418bc3']
['炫彩光譜 神射', 'dd024421-4c2a-7126-b58e-fea865a45aa9']
['櫻花 神射', 'c8652efa-462f-d455-20b0-699dd00a9e2a']
['安寧守護者 神射', 'ec570f46-4751-eeb6-7739-069bcbb8d05a']
['設計稿 神射', 'b5601f65-4467-7946-8a37-45bed5514f98']
['光之哨兵 神射', '746a022b-48a9-c51b-f379-11a3e1e2bc8e']
['光之哨兵 神射 等級2', 'fe88374e-4f4e-7736-38d6-fab5df49567b']
['光之哨兵 神射 等級3', 'adb6d5c9-4049-9878-cf16-36b19239d0f5']
['光之哨兵 神射 等級4', '894383ad-4945-3a91-a52c-8f8323a5c59b']
['掠奪印象 神射', '4e4ebb8d-41d0-c326-595a-1f9b257e91fa']
['掠奪印象 神射 等級2', 'ab5c63fc-46c0-8c7d-1d67-0da96d4b8cf7']
['掠奪印象 神射 等級3', 'ef84244d-4f04-01dd-36ba-c7b97a688754']
['掠奪印象 神射 等級4', 'a47a0d1b-4405-9de7-6011-68a9a4a1f36d']
['神射', 'feaf05a1-492f-d154-a9f5-0eb1fe9a603e']
['異裝凸鏡 神射', '4538bff7-470c-889c-9875-7ba3ebf87c87']
['漆面皮革 神射', '5fb2a965-4cd9-0564-c8b1-51895ba7718a']
['煙漠荒土 神射', '0d73596b-478a-dae0-49ca-2fa588f78f13']
['遊戲結束 神射', '443f5a29-4d5e-d63e-a3c6-ada7713172fa']
['奧術 神射', '9ee1d68f-4b51-8ef1-b620-efa9760b0d02']
['奧術 神射 等級2', '114a5ce1-43ac-2cd8-3a9a-adbdfa32220e']
['死亡之願 神射', 'a07ff70b-4b4b-ee36-78f5-8ba771b278ac']
['異星霸主 短管', 'f41c7d7c-4701-1612-f375-7fbfa52b7ac7']
['異星霸主 短管 等級2', 'ed37bd4b-48fa-3d51-49ae-19be0780a290']
['異星霸主 短管 等級3', '6089c5d0-4fb4-cf2d-3940-adb2a1d97b16']
['異星霸主 短管 等級4', '60ffb9eb-430e-5920-6418-aaaca3b566b4']
['海洋星球 短管', '93266c2b-400f-da62-24a0-739f51d33cc1']
['海洋星球 短管 等級2', 'e40ba2a2-4b91-8144-0b62-7c8ede15bced']
['海洋星球 短管 等級3', 'e70308c1-437a-d393-5c9a-7386bf8a7e28']
['夢魘惡魔 短管', 'f1f9cde8-4810-86a0-1c95-4ab214d4f6b8']
['符文石典 短管', 'f990616a-44ab-ec78-fe3d-8b9ce27a5d18']
