['Xenohunter Odin', '89baf0f4-4648-69fc-f0af-2fbc69b97b80']
['CHRONOVOID Judge Level 4', 'b05f2a52-40c9-10de-9c90-2ca8e01a5da4']
['Elderflame Judge', 'd8c9fee3-4e02-bc92-a235-608a556905ae']
['Elderflame Judge Level 2', '640764d8-495d-3663-27ab-b99f5f2466d6']
['Elderflame Judge Level 3', 'd95e4b3c-4081-4005-cae7-14b890046b4f']
['Elderflame Judge Level 4', 'd41a4383-4c15-4c3f-1f16-4fbb4fb36ed8']
['Rush Judge', '33d3c906-4305-19cf-8770-1eb5207482cc']
['Team Ace Judge', 'ca41d64f-4622-593f-382e-0484a1a3dd6b']
['Shimmer Judge', 'e6bdb298-4372-7c74-a057-f891a3ade5e7']
['.EXE Judge', 'f8cd4279-4530-db62-1e4e-aa82c129b045']
['Goldwing Judge', '77dd3407-4580-9734-a0bb-6b80a4e5be3e']
['Hydrodip Judge', '2a25f841-4769-6536-ded3-8890ee26c430']
['Outpost Judge', '11e342ba-4f18-b9ab-964e-e48fdf610890']
['Prism III Judge', 'b3e563fe-4a91-6070-4582-7ca51d62631a']
['Serenity Judge', '4afdc818-4665-1582-6319-8081aa64e550']
['Kohaku & Matsuba Judge', 'ccf16a23-4222-1abe-d8f0-93a782b5b449']
['Smite Judge', '1b94d997-4db6-014f-4cb8-c1b4df7d7ebc']
['Iridian Thorn Judge', '7fa021e2-4881-d71e-f7a1-a6947b4b48d9']
['Celestial Judge', '4f45735c-4513-e9a6-48ac-35acca4c3410']
['Luxe Judge', 'cfeb4b7a-4310-796c-db4e-fb9844823992']
['Coalition: Cobra Judge', 'fe644484-4d07-5472-9e4a-d3992f2f2ecb']
['Crimsonbeast Judge', '8c02ea4f-45ce-76ba-9ea6-198156deb9eb']
['Crimsonbeast Judge Level 2 - Tiap kali kamu membunuh musuh, efek visual dan suara khusus akan diputar', 'e1401626-424d-a263-2b60-4eb2147c096c']
['POLYfox Judge', '3c23fdc3-4300-ec78-5123-bcb0dc456473']
['Divine Swine Judge', '7ae57ece-4560-236b-5bdb-5f8ee2c294b2']
['Jigsaw Judge', 'a1c04a89-45e6-0406-9e1a-668cd772fc63']
['Sensation Judge', '65ed014b-4279-8ba5-01d3-f48d4e7f115c']
['Skin Favorit Acak', '69dd1d46-422b-ec24-6dc1-fb848d445ef4']
['Snowfall Judge', 'e1b5cdca-4df5-5c4e-f34a-3cbdd3fd8735']
['Judge', '6942d8d1-4370-a144-2140-22a6d2be2697']
['Gridcrash Judge', '5a93b96b-4b27-c478-0dae-c89077561adb']
['Convex Judge', '73e91435-4a2a-2552-d541-eb961e168f2c']
['Varnish Judge', '07ac5e03-42e6-0fd9-b8fa-4d9f059b904f']
['Xenohunter Bucky', '01a984b8-4b91-ab61-60b9-1bb9ce54bd04']
['Xenohunter Bucky Level 2', 'a3073107-4927-808c-acce-e0972543f75a']
['Piedra del Sol Bucky', '154dea46-45a7-828d-5e0a-b9b3e4f7d7e3']
['Origin Bucky', '56042ce2-4f95-19be-7cac-5fb191683953']
['Origin Bucky Level 2', 'd7ba0b3f-445b-1075-69b9-ebb3d79f7cc6']
['Origin Bucky Level 3', '36f894b7-49ae-251d-d6c1-6ba43588feb0']
['Origin Bucky Level 4', '52790992-4d3d-cca0-87cd-f8a54cb1a919']
['Radiant Crisis 001 Bucky', 'bddfd0ba-49a1-0f4f-e32a-d5a1ed29d5fc']
['Radiant Crisis 001 Bucky Level 2', '9485c7ec-4869-5454-165f-08898e934835']
['Radiant Crisis 001 Bucky Level 3', '587f57bf-495d-2201-1db4-71aa270dd589']
['Red Alert Bucky', '633521c9-42ae-d2be-78c1-a09b25af7d10']
['Surge Bucky', '1e7be2e9-418e-7f39-d879-a8912be1d3ab']
['.SYS Bucky', 'b7652717-49c0-b658-529e-6f8146ab0eca']
['Horizon Bucky', 'f7425a39-43ca-e1fe-5b2b-56a51ed479c5']
['Monarch Bucky', 'a773dd2f-4027-4b98-8d4b-5ea0c7924883']
['Hydrodip Bucky', '338bb3e6-4c47-425d-32a5-5ea1a96c78ae']
['Prime//2.0 Bucky', 'f987be1f-4287-35a4-34a9-d6a92805e7ff']
['Prime//2.0 Bucky Level 2', 'bb7700ba-44a7-fac9-0a8b-969412238fd4']
['Prime//2.0 Bucky Level 3', '1db224e3-49b7-eba5-0c94-779238480de1']
['Prime//2.0 Bucky Level 4', 'a468da91-408b-e7ad-9872-9dafbdd7d37c']
['Prism II Bucky', '1ef3c871-45db-0f6d-fc34-8bb2685cd6c0']
['Kingdom Bucky', '4caa7fb0-4751-52f3-6eed-6ab6232be131']
['Iridian Thorn Bucky', 'd1d98507-48c7-a7ed-003c-90b085632fb9']
['Magepunk Bucky', '78776175-4040-282f-07a1-0199b1fdcf58']
['Magepunk Bucky Level 2', '82fe02be-416e-f563-4fed-28b74d7c6675']
['Magepunk Bucky Level 3', 'e98fc056-4234-d1b9-7d0e-eeb0c41742ad']
['Magepunk Bucky Level 4', '3022b056-4d17-3b4a-a80d-22b096b977ec']
['Galleria Bucky', '03e03718-4c65-8a47-fb8b-78ba233cecd1']
['Genesis Bucky', 'bb3e45b2-4c4f-e0cb-c094-3a95261bba35']
['Ion Bucky', 'f00520c8-4b70-7255-d23c-c0a4887656a2']
['Ion Bucky Level 2', 'd8f0cad0-40a3-75a4-389b-5d8e91e9e157']
['Ion Bucky Level 3', 'b1a6a3d0-4c31-266e-0d66-5a960d452220']
['Ion Bucky Level 4', '18039610-4134-95f2-0791-e18a2e9f30dd']
['Oni Bucky', 'cdc130c2-4b12-3702-c8f6-5a8920746395']
['Oni Bucky Level 2', '8f1dbce8-4012-72a8-1e4f-d4b50cfc5bb8']
['Oni Bucky Level 3', 'b5e520a1-43a6-c144-e70d-918d90f05233']
['Oni Bucky Level 4', 'af478f2a-4dae-43d3-1545-7d96a65c60b1']
['Artisan Bucky', '5466bacf-446b-52a1-611d-339f6f376d40']
['Skin Favorit Acak', 'e5c6d130-4226-cdac-8d03-1b97e907b8f9']
['Gravitational Uranium Neuroblaster Bucky', '22c0aaa3-4919-5a7b-90c0-2dacafdc32fe']
['Gravitational Uranium Neuroblaster Bucky Level 2', 'c91875e5-48a9-0820-6b65-aba73bf3479d']
['Lightwave Bucky', '23885a08-4a77-82a7-5dbc-ec812f252ca0']
['Cavalier Bucky', 'b6a089dd-4616-be48-4f28-d8b2a539c0a5']
['Titanmail Bucky', '0771ccd2-40b0-54cf-37b4-c3b5cac03bdb']
['Bucky', '2f5078c7-4381-492d-cc00-9f96966ba1ec']
['Aerosol Bucky', '5f2ae626-44a5-b1c5-a879-98bc2fe587c6']
['Task Force 809 Frenzy', 'bea776cb-4d13-136a-be7f-639dbb7ba01e']
['RGX 11z Pro Frenzy', '6f2aefab-439d-140a-4dc6-87818e2d72cd']
['RGX 11z Pro Frenzy Level 2', '496447ae-41f4-278b-ff4a-e09f3272b287']
['RGX 11z Pro Frenzy Level 3', '0342399f-45e4-869d-4426-cd8dfc9e0007']
['RGX 11z Pro Frenzy Level 4', '61ceadee-4869-1676-4207-228ac4e19664']
['RGX 11z Pro Frenzy Level 5', '17ccfd06-4449-de46-2170-a29448d8f4aa']
['Xenohunter Frenzy', '8f254346-439f-0e98-2428-62b0c669d2ae']
['Xenohunter Frenzy Level 2', '59a1d043-41ad-111c-80c7-2a94d534819f']
['RagnaRocker Frenzy', 'b02520dd-48cd-466c-977d-529dc6a1d6f5']
['Origin Frenzy', 'c4547e69-47a7-dc52-d09c-94bbf87dba0a']
['Origin Frenzy Level 2', 'bcdaa979-4e4c-744c-6fd9-2381b2fc2341']
['Origin Frenzy Level 3', '4a42f394-4f6c-0b13-3e83-5a8bdf81e0f6']
['Origin Frenzy Level 4', 'd3496119-4338-51cb-793f-dda5845d38a5']
['Glitchpop Frenzy', '4b74b3ee-4a63-7339-a28f-8b8be010ca5a']
['Glitchpop Frenzy Level 2', 'eddc294e-45f1-026e-1362-70b4e1f1f03a']
['Glitchpop Frenzy Level 3', 'd89c07d2-4eab-3776-fa3e-d6abb0e18188']
['Glitchpop Frenzy Level 4', '71af2fc6-4a39-7c34-158f-abbd0eeb97e5']
['Elderflame Frenzy', 'ea65ba94-468d-39a8-5ded-98820d72d19f']
['Elderflame Frenzy Level 2', '63307028-4680-bbf3-a69f-7faad8113a49']
['Elderflame Frenzy Level 3', 'b86ea344-404d-de22-92c8-1b89c455c47d']
['Elderflame Frenzy Level 4', 'f70dc825-4be6-0074-0526-758b3f183152']
['Sarmad Frenzy', '1ef9fcc9-4087-a079-616a-849f43c51665']
['Rush Frenzy', '3e32c58e-4347-e4b1-4502-6dab0dc516a8']
['Venturi Frenzy', '01cba63e-457b-fab8-2252-96ae4344cbef']
['Team Ace Frenzy', '8a3d3cb5-4c8f-0604-b931-9388de1eabad']
['Swooping Frenzy', '2f911f78-46e4-102a-f677-37a069c3a4dc']
['Horizon Frenzy', '7cd7c895-4da5-a3bc-3518-ff8d53af5151']
['Monarch Frenzy', 'ccbd02ca-442d-08b7-e862-e1a350266fb4']
['Hydrodip Frenzy', 'c485b3df-4ea3-d457-e75b-35add7e78e7e']
['Prime//2.0 Frenzy', '2607b2c6-45f7-e75e-94f8-58a738773d5c']
['Prime//2.0 Frenzy Level 2', '5c29291f-45d5-d302-5cd8-38af2e1565eb']
['Prime//2.0 Frenzy Level 3', '5c5edc8b-407e-55b5-ae14-9bb555b4043b']
['Prime//2.0 Frenzy Level 4', 'ac9c073b-4dd0-28c4-3b6a-f09e3a25e60f']
['Couture Frenzy', '9d333ff1-47e2-04c7-2a26-688c08e9164d']
['Nunca Olvidados Frenzy', '55869fb8-4a79-e684-2000-028fa9f54060']
['Celestial Frenzy', '4efc0af7-4623-cb2e-997c-6cbf2e5ddfb4']
['Coalition: Cobra Frenzy', '337b4e6a-46d8-8359-50c0-388717617044']
['Ion Frenzy', '64fcb53f-465d-318e-5bf9-bfa7c39b1d67']
['Ion Frenzy Level 2', '828b7634-4bea-0558-0383-94961e3019f3']
['Ion Frenzy Level 3', '396da3b7-4830-9e1e-5915-7dbba955b95c']
['Ion Frenzy Level 4', '76d90e0a-494a-8cdb-6c21-10b02f27ccc8']
['Spitfire Frenzy', '468505e6-46e2-af29-3974-5fbbe6bf212f']
['Aero Frenzy', '2f69bfe0-4126-4d2b-91b4-c9a2cb1909da']
['Divine Swine Frenzy', 'e44b70cf-4e83-19d3-a748-5f849054dad7']
['Sensation Frenzy', '5a773352-456e-ef0b-35ab-c99ead159264']
['Skin Favorit Acak', 'dbf01b61-4639-696a-d17b-0b85c4e3feec']
['Lightwave Frenzy', 'fe7ac291-4516-02d4-9101-0a990615a585']
['Titanmail Frenzy', '47ee5cb6-4059-df8b-6d40-5daaa01ff49f']
['Live Wire Frenzy', '08e6ba32-4a6e-8680-df58-39af9c32cdac']
['Frenzy', '80fabd74-4438-a2dd-0c39-42ab449f9ec6']
['BlastX Frenzy', '31da3ec9-4eb0-ce9f-fcbb-e09ec626e748']
['BlastX Frenzy Level 2', '3ce662ff-410f-4ed6-1e81-94ad17a685e3']
['BlastX Frenzy Level 3', 'a37d950a-483a-ec0d-8ddb-218f726df65e']
['BlastX Frenzy Level 4', '79eabc1b-45ed-ea03-35f4-ffaadccfc675']
['RGX 11z Pro Classic', '90cd5d86-4516-918b-29af-07b116f63aa9']
['RGX 11z Pro Classic Level 2', '335af838-4f48-e2db-ca91-3d976aab34c2']
['RGX 11z Pro Classic Level 3', 'c11deaae-4528-af24-25c6-7f8d928951a5']
['RGX 11z Pro Classic Level 4', '44fb2542-45e5-f504-fdb5-fdb075ece7af']
['RGX 11z Pro Classic Level 5', '4c741d16-4ab3-873f-99e0-7ab0c0643f08']
['VALORANT GO! Vol. 2 Classic', '68ee5c6c-4424-e95a-f46f-c08ec2dfeb97']
['Spectrum Classic', 'fe32e4bd-420f-b4cc-de37-febb78df9e16']
['Spectrum Classic Level 2', 'dfa8a5fd-41bb-cb7f-a8c9-f4b9e1d1de26']
['Spectrum Classic Level 3', '345b4316-42d1-6e90-321d-fa930ef43762']
['Spectrum Classic Level 4', '40489a32-47c8-710c-5ed9-738a61a3db38']
['Pistolinha Classic', 'c2e41149-4f8b-e191-a0ae-5a94b80044f5']
['Striker Classic', '564806a9-43fd-986e-7901-6790b6077a0d']
['Radiant Crisis 001 Classic', '13f3818c-4518-cf39-51f6-8cad1dc5bfc6']
['Radiant Crisis 001 Classic Level 2', 'e70a810d-4dc6-7d09-cb28-eabe004df4bb']
['Radiant Crisis 001 Classic Level 3', '499135d0-4848-c78c-21fc-5699a262fa95']
['Red Alert Classic', 'd2b8b79b-4be7-4790-a356-4e9b06d3965e']
['Undercity Classic', '1590d353-4b81-4207-b79a-5493231cbee7']
['Glitchpop Classic', '25cb63cd-416e-ab23-2377-d18638679871']
['Glitchpop Classic Level 2', '1a8103b0-4daf-2bee-6051-75a80cc49dce']
['Glitchpop Classic Level 3', 'f7b66f96-46af-4003-7b9c-9d86a18fead8']
['Glitchpop Classic Level 4', '748397a3-42c7-7482-3451-57a28b3af4c3']
['Finesse Classic', '30f3e881-43d0-a455-b272-e8968c45761f']
['Surge Classic', '29a5ecc2-4f93-068a-130a-b5a8a113fec9']
['Songsteel Classic', '3e20522c-42ba-797e-b469-da88b5de7505']
['Forsaken Classic', '81658642-4f78-cbb4-9e40-b8856a904bc7']
['Forsaken Classic Level 2', '5ee11790-419d-af54-61da-9983470dddb5']
['Forsaken Classic Level 3', '64b7415b-4425-6d04-9aae-d8ac9c502f8f']
['Forsaken Classic Level 4', '0256f32e-4c05-d95f-5a98-1caa0a3f7d6f']
['Shimmer Classic', '54bce490-408d-3547-3d8a-aca353c2fa01']
['FIRE/arm Classic', 'e7822f41-4dc8-6fab-a931-4fb1bb7590ab']
['Goldwing Classic', 'ead87ff8-4cad-e895-fd07-57b4db148022']
['Prime Classic', 'c7695ce7-4fc9-1c79-64b3-8c8f9e21571c']
['Prime Classic Level 2', '7b2c1232-460b-ab9a-1eca-55b5aee9ad08']
['Prime Classic Level 3', '4fc58223-43e7-a868-a6df-5e93be31369c']
['Prime Classic Level 4', 'e8a35ddb-4ce7-3867-154c-94803ed12a24']
['Avalanche Classic', '3800390c-4192-92d1-1703-33ba231fc226']
['Prism III Classic', '01868af0-4d5c-6f65-5b77-b6bb5aadaf09']
['Kingdom Classic', '6ab90b28-49f1-9e1b-5083-2da2de61e109']
['Kohaku & Matsuba Classic', '066f6d01-4940-606a-70f6-e78fb20f5d2d']
['Smite Classic', 'eb35e4e1-4138-9ece-08e2-69bd414cf598']
['Spline Classic', '1b300b91-41bb-d468-f65f-f68ec0861bd6']
['Galleria Classic', 'b8bc5d1b-44aa-aa83-0246-b1a6bb496177']
['Cryostasis Classic', '59e65120-4806-491a-9e88-13a26c80ee3f']
['Cryostasis Classic Level 2', '5383be6c-4249-5789-0836-eb985e826954']
['Cryostasis Classic Level 3', '258fab16-4723-56bb-2fac-06951346be1e']
['9 Lives Classic', 'b2ae014f-4c4e-1308-d1c7-e8bc70c46947']
['Premiere Collision Classic', '8bd8c44c-4c30-947a-5531-a0b823d574ea']
['Skin Favorit Acak', '1b9b82e2-4352-e339-f0f8-7d96d16b48e0']
['Gravitational Uranium Neuroblaster Classic', 'f35f6e13-4b7b-da38-c0de-5c91fffd584b']
['Gravitational Uranium Neuroblaster Classic Level 2', '6958fbf5-4708-f97e-92e1-c7abdf6724b1']
['Sakura Classic', 'df639108-4e9d-7fc1-51da-4dbb810ba011']
['Snowfall Classic', 'f2a7150b-4894-0dc8-53b3-bf9a30fa4ea4']
['Infinity Classic', '03dc8f7e-46b0-e412-e335-47bb646fa057']
['Classic', '51cbccad-487c-50ed-2ffd-c88b4240fab3']
['Final Chamber Classic', 'bbbe4b32-457c-e4fb-a674-1d9c3885d331']
['VALORANT GO! Vol. 1 Ghost', '2dd042e4-409e-c8ed-ec76-758529e49d99']
["Gaia's Vengeance Ghost", 'f7862f1f-4340-6e42-b1fa-0ebcdcf43456']
["Gaia's Vengeance Ghost Level 2", 'faced80a-4ebf-c35d-ef38-71a32b63a143']
["Gaia's Vengeance Ghost Level 3", '1694d232-4a90-7da9-dd1f-268626aa573d']
["Gaia's Vengeance Ghost Level 4", '13d0ce22-4c97-02a0-4e16-c7964d9b1332']
['Endeavour Ghost', '80073abf-4fea-b06d-f70c-bdbe6d8ce0a7']
['Piedra del Sol Ghost', '8f9a3c0c-47ac-6032-7027-899c7e35958e']
['Starlit Odyssey Ghost', '0235ff00-4ba4-2092-ea7d-b99299d7017f']
['Spitfire Ghost', 'c247790e-4a6b-a3f2-1e1f-ccae710b5179']
['.EXE Ghost', '9466088a-4ad8-cb08-ec9a-45aaba3a6acd']
['Hush Ghost', 'afcb2528-4415-0178-98b1-c0a751092762']
['Soulstrife Ghost', '0296ff9b-4172-5a29-7d25-a7bf491b5bd4']
['Soulstrife Ghost Level 2 - Tiap kali membunuh musuh, efek visual dan audio kustom akan diputar', '0cb68ca8-4aff-9938-546c-1faed16b113f']
['Infantry Ghost', 'a14fa0b5-4b03-2ad9-3b0e-a3ac6a0b033b']
['Goldwing Ghost', '9130e35d-49bb-027d-c536-96a8b63c3f1c']
['Outpost Ghost', '9fa5664e-45fa-2a52-68e4-db97d85c8a91']
['Prism Ghost', '5546f723-4056-6700-80b8-f1b8d42e4952']
['Serenity Ghost', 'de822d80-4e91-943d-3dd5-429513e7d177']
['Ruination Ghost', '5e1f5465-40cd-2c0f-33ab-398c5367d080']
['Ruination Ghost Level 2', '4ac6acb8-4b37-67fd-39ec-c6800ba7367f']
['Ruination Ghost Level 3', 'e26a2676-4257-a963-cf70-bf9f52f1f318']
['Ruination Ghost Level 4', 'b78f3320-444e-b936-637c-258505ea509d']
['Luxe Ghost', '68564c51-4f7e-67d1-fd0d-4e9d216356e8']
['Magepunk Ghost', '003e0991-4370-8837-f8fc-6ab3acec2dbf']
['Magepunk Ghost Level 2', 'b5ced653-45ca-9cd4-e6d5-8db020c6881d']
['Magepunk Ghost Level 3', 'aa704280-43ff-991e-c3d7-63abf43c8bd0']
['Magepunk Ghost Level 4', 'abf6805e-4def-f0f0-92cf-28bb67c46fed']
['Artisan Ghost', 'b70db444-4ede-9cee-25dd-35b2edb38cd5']
['Jigsaw Ghost', 'd0793c86-471d-c60c-b0da-bcbadcd8bf12']
['Luna Ghost', '091e534b-4ad9-599e-c8fe-f99a568c7503']
['Skin Favorit Acak', '7afbe865-4832-941b-049b-1397bd90d4d8']
['Eclipse Ghost', '55aaa4ee-4d64-51c7-3c09-fd9bcbe1d122']
["Lycan's Bane Ghost", '04c6f57c-4463-f8b7-a475-6c89b2ec4416']
['Reaver Ghost', 'a6fe7710-4edc-5e23-223d-aeaef3d17866']
['Reaver Ghost Level 2', 'aef240db-4587-9d5d-bf89-eab5eeacf28e']
['Reaver Ghost Level 3', 'ab52517a-4a6c-0af9-1fc4-dbba07d6cd16']
['Reaver Ghost Level 4', '8ac0b94e-4b23-d9d2-8bc0-a7a34b477930']
['Sovereign Ghost', 'ed8a1109-4e48-f077-636b-e98dd332bfcc']
['Sovereign Ghost Level 2', '94b4e0f7-454d-0e5b-9f32-4d9fd399d8a2']
['Sovereign Ghost Level 3', '5aa0593c-40fc-b9c4-9232-7f91f75b9fbd']
['Sovereign Ghost Level 4', 'd5e747da-4d41-28e2-68b2-c5b41584f7cb']
['Tethered Realms Ghost', 'b9f4e6ea-4db2-6939-731f-0eb93cfbbb1d']
['Recon Ghost', '459343eb-4c56-4f10-ff2f-fbbf07d3695d']
['Recon Ghost Level 2', 'ee07b00e-4ef5-66dd-adae-91b90b1b8556']
['Recon Ghost Level 3', 'a2664625-480a-86ce-1ca6-609125252be2']
['Cavalier Ghost', '7cee2791-457c-6017-cfba-bca7f61fc151']
['Ghost', '0a7e786c-444e-6a80-8bda-e2b714d68332']
['Gridcrash Ghost', '232f93cb-4c6e-512c-9961-db9b90929400']
['Depths Ghost', 'bb0450c4-47db-4fc7-d0c3-a8a5320d673b']
['Ego Ghost', 'f9fab42c-46bf-1bf0-dba5-32988be03fc2']
['Vendetta Ghost', '4526a891-4754-da6c-7ada-95a8a259952e']
['Winterwunderland Ghost', 'd0fda3cb-454c-e81d-94e4-42942c99f02d']
['Soul Silencer Ghost', 'b85b3760-43bb-507d-323e-1682fa76d96b']
['Wayfarer Sheriff', 'b9bf9657-411e-8fe3-b717-b99ba01fe07a']
['Immortalized Sheriff', 'd3f40fb9-40ec-b61f-7479-ceaded7b176a']
['Aristocrat Sheriff', '6d4766d0-41f0-8493-93eb-a4902a0c6034']
['Nebula Sheriff', '353c1e5f-4258-c49a-c0d6-319ad33bffea']
['ChronoVoid Sheriff', 'ade427fc-4b24-f290-c91a-b1904b787f42']
['ChronoVoid Sheriff Level 2', '5ea7ae90-4b5c-bc7d-e1b4-25a1dae54e6d']
['ChronoVoid Sheriff Level 3', 'dc7fb3f6-476b-fac7-2e2d-f4b1d1ed062d']
['ChronoVoid Sheriff Level 4', '1e60239c-4322-aec5-8e82-f39cfb196f88']
['Abyssal Sheriff', 'ae3986a0-4a43-7218-218f-63b8c5c7c63b']
['Singularity Sheriff', '4276d2b5-4b1c-b636-aff0-4ea579d875d7']
['Singularity Sheriff Level 2', '4a585df0-4bc4-17aa-1e5a-ccac42b07d12']
['Singularity Sheriff Level 3', 'f73b2921-4f40-918e-08eb-45abd9ce2b3c']
['Singularity Sheriff Level 4', '65c2c8d3-4473-4f74-305c-ff90fbf318e8']
['Surge Sheriff', 'db36ee86-4aa7-249f-6745-5e9ddffa50b4']
['.SYS Sheriff', '6287a1f1-4d10-5190-86ec-659b26020e87']
['Protektor Sheriff', 'd9fc55c6-4b92-98ac-5052-2a8b5ca4fb71']
['Prism II Sheriff', 'b6e6ea9e-432d-ec17-904e-62a5ea45f1a7']
['K/TAC Sheriff', 'df35b7df-4add-58fb-418c-0dbea48b7e82']
['Iridian Thorn Sheriff', 'c5ee573f-4f5d-e64c-240c-89a1d1be64a1']
['Magepunk Sheriff', '59733cf9-490b-e25b-2c6f-eca947628079']
['Magepunk Sheriff Level 2', 'c1e1dc78-44e1-1d94-171e-d7933d2828c7']
['Magepunk Sheriff Level 3', '43f79fbc-4a00-f0fc-0813-2cb8224ee6d3']
['Magepunk Sheriff Level 4', '892725e3-4c2a-0333-e43a-1da5896cd6a4']
['Minima Sheriff', '75b110de-40e5-3e02-d700-2abda38817c5']
['Silvanus Sheriff', '9dbc52e2-4889-cbe5-b874-4f8f0f8f3781']
['Crimsonbeast Sheriff', '72586d88-46c4-1532-7507-d6bb5c2d201c']
['Crimsonbeast Sheriff Level 2 - Tiap kali kamu membunuh musuh, efek visual dan suara khusus akan diputar', '11217acc-4f12-d9fe-60a4-88b32f355bd2']
['Ion Sheriff', '2b555f97-46bb-5949-3531-979f5bc817f0']
['Ion Sheriff Level 2', 'a60421b9-4b86-ccd3-ca08-808ef4cf112b']
['Ion Sheriff Level 3', '1ad8e7b3-4547-0890-aa8d-d79be028e48f']
['Ion Sheriff Level 4', 'becd58d6-4da0-db56-a748-35923d2750e1']
['POLYfox Sheriff', '02f45c84-427c-d575-945f-ba913a732b72']
['POLYfrog Sheriff', '54ab75c2-42f2-544f-f4f2-ce9ca9180f6b']
['Protocol 781-A Sheriff', '12831559-44ee-c708-b97c-29a43938e3cd']
['Protocol 781-A Sheriff Level 2', '62edd453-4fc5-2ad4-0531-a9aa941aeb8e']
['Protocol 781-A Sheriff Level 3', '7f084312-45f8-38f6-8ab8-10ac6bef0685']
['Protocol 781-A Sheriff Level 4', '718ddb3a-42a1-6d78-329f-49b8a2705835']
['Protocol 781-A Sheriff Level 5 - Pelokalan voiceover mungkin berbeda di wilayahmu', 'caf49d9b-4acc-bc39-4adb-29a11802a700']
['Skin Favorit Acak', '94d0ca9c-444b-f762-17a5-908ef1418bc3']
['Lightwave Sheriff', 'dd024421-4c2a-7126-b58e-fea865a45aa9']
['Sakura Sheriff', 'c8652efa-462f-d455-20b0-699dd00a9e2a']
['Peacekeeper Sheriff', 'ec570f46-4751-eeb6-7739-069bcbb8d05a']
['Schema Sheriff', 'b5601f65-4467-7946-8a37-45bed5514f98']
['Sentinels of Light Sheriff', '746a022b-48a9-c51b-f379-11a3e1e2bc8e']
['Sentinels of Light Sheriff Level 2', 'fe88374e-4f4e-7736-38d6-fab5df49567b']
['Sentinels of Light Sheriff Level 3', 'adb6d5c9-4049-9878-cf16-36b19239d0f5']
['Sentinels of Light Sheriff Level 4', '894383ad-4945-3a91-a52c-8f8323a5c59b']
['Reaver Sheriff', '4e4ebb8d-41d0-c326-595a-1f9b257e91fa']
['Reaver Sheriff Level 2', 'ab5c63fc-46c0-8c7d-1d67-0da96d4b8cf7']
['Reaver Sheriff Level 3', 'ef84244d-4f04-01dd-36ba-c7b97a688754']
['Reaver Sheriff Level 4', 'a47a0d1b-4405-9de7-6011-68a9a4a1f36d']
['Sheriff', 'feaf05a1-492f-d154-a9f5-0eb1fe9a603e']
['Convex Sheriff', '4538bff7-470c-889c-9875-7ba3ebf87c87']
['Varnish Sheriff', '5fb2a965-4cd9-0564-c8b1-51895ba7718a']
['Wasteland Sheriff', '0d73596b-478a-dae0-49ca-2fa588f78f13']
['Game Over Sheriff', '443f5a29-4d5e-d63e-a3c6-ada7713172fa']
['Arcane Sheriff', '9ee1d68f-4b51-8ef1-b620-efa9760b0d02']
['Arcane Sheriff Level 2', '114a5ce1-43ac-2cd8-3a9a-adbdfa32220e']
['Death Wish Sheriff', 'a07ff70b-4b4b-ee36-78f5-8ba771b278ac']
['Araxys Shorty', 'f41c7d7c-4701-1612-f375-7fbfa52b7ac7']
['Araxys Shorty Level 2', 'ed37bd4b-48fa-3d51-49ae-19be0780a290']
['Araxys Shorty Level 3', '6089c5d0-4fb4-cf2d-3940-adb2a1d97b16']
['Araxys Shorty Level 4', '60ffb9eb-430e-5920-6418-aaaca3b566b4']
['Neptune Shorty', '93266c2b-400f-da62-24a0-739f51d33cc1']
['Neptune Shorty Level 2', 'e40ba2a2-4b91-8144-0b62-7c8ede15bced']
['Neptune Shorty Level 3', 'e70308c1-437a-d393-5c9a-7386bf8a7e28']
['Karabasan Shorty', 'f1f9cde8-4810-86a0-1c95-4ab214d4f6b8']
['Rune Stone Shorty', 'f990616a-44ab-ec78-fe3d-8b9ce27a5d18']
['Prelude to Chaos Shorty', '09fded5d-4add-00e7-d3c4-32b8f21c7944']
['Prelude to Chaos Shorty Level 2', 'a0708cc3-4f93-228c-fba0-b3938c5efea5']
['Prelude to Chaos Shorty Level 3', 'c977106d-4dc7-bbcd-74e4-efab54475915']
['Prelude to Chaos Shorty Level 4', '8ca69aa7-451a-1af5-e897-3b9d309e82a4']
['Doodle Buds Shorty', 'deb200a8-447c-0e47-5b92-e8aeb9cd5525']
['Doodle Buds Shorty Level 2', 'ba0193f6-4c7d-1b7f-b9dc-4e883a6ba21a']
['Hivemind Shorty', 'd0a95805-4adb-95f7-3955-339d89769bec']
['Velocity Shorty', 'c6db7920-4d61-556e-7c06-19954b847cbe']
['Ruin Shorty', '907bab1f-4fca-982e-7645-41a941ef6626']
['Monarch Shorty', 'a8718add-47cd-30ad-12cf-eea925286a91']
['Prism II Shorty', '61f62d77-4f80-7664-2ea9-538f6fc4b241']
['Wunderkind Shorty', 'f9688e62-42c5-9f10-f160-49abaee2e02c']
['Genesis Shorty', 'f5f8fb4f-4c3a-ee60-ed0c-bfb8cded09fc']
['Oni Shorty', 'a2950772-447a-f2db-be24-19b0e0ed736f']
['Oni Shorty Level 2', '75a66462-49d7-134a-03e1-bc8c3b7fda7a']
['Oni Shorty Level 3', '02461d7f-4f0a-f25f-94b2-ee960d0734d7']
['Oni Shorty Level 4', '25e2a599-4564-708a-b80e-afbeb6781372']
