['Odin Xenohunter', '89baf0f4-4648-69fc-f0af-2fbc69b97b80']
['Phantom Hồ Quang', '1452386a-47ab-bd8a-775d-9194020ca52d']
['Phantom Tuyết Rơi', '00eb5b5b-4697-44b5-a926-7e86b730e812']
['Phantom Cưỡng Đoạt', '4c18d802-409d-ec20-f630-d3abfcaa37c7']
['Phantom Cưỡng Đoạt Cấp 2', '8f9e6d07-40aa-7ae0-eedf-d391fcf9a00e']
['Phantom Cưỡng Đoạt Cấp 3', 'a32255f0-4c5a-e518-b83e-3585564e4abb']
['Phantom Cưỡng Đoạt Cấp 4', '0e321f27-4803-1df8-7414-78b96f1afe7e']
['Phantom Trinh Sát', '5be0b43b-4e66-ab8a-91d9-be9137e2e1c2']
['Phantom Trinh Sát Cấp 2', 'a8509c8d-4061-1c57-60a5-61a025f28408']
['Phantom Trinh Sát Cấp 3', 'b64d1e55-402d-de3c-6ad5-ffbc9c201d1f']
['Phantom Trinh Sát Cấp 4', 'e47e2e77-4923-dbe8-ab46-aba9af1a029e']
['Phantom Vô Cực', 'c71c8e2e-481f-c09f-57ef-91846a982cb5']
['Phantom', '871e73ed-452d-eb5a-3d6b-1d87060f35ce']
['Phantom Kim Hổ', '437fae46-4145-c8a5-14d7-9c8a05bddb05']
['Phantom BlastX', '7b534393-40b0-38d0-1ffc-2b8b78708264']
['Phantom BlastX Cấp 2', '5725e2ca-4889-cd60-67e9-b4b968a2f461']
['Phantom BlastX Cấp 3', '0f690150-4a9a-1a0d-2ec2-c596696cb311']
['Phantom BlastX Cấp 4', '2d8a7310-412c-448b-3475-f681999e3920']
['Phantom Mùa Đông Kỳ Diệu', '63a65008-4266-1117-fe3d-d1bf290b7da9']
['Judge Piedra del Sol', 'd73d6605-40b3-6a79-ad77-adbfc2e20742']
['Judge Thành Phố Ngầm', 'f27be4ed-4fa5-9c3a-592a-b98bb455fd12']
['Judge Glitchpop', '712c7a37-4524-0b27-dfdd-4e95181dd36e']
['Judge Glitchpop Cấp 2', 'c9480c4d-4005-8cd9-e1a2-18bed7f2e801']
['Judge Glitchpop Cấp 3', '6f48190c-403c-3a92-1a89-f983fa9281db']
['Judge Glitchpop Cấp 4', 'c60c98e3-41de-ed9c-fb92-aa9c6e0bc7a0']
['Judge ChronoVoid', 'b0d5c4da-4d81-4386-e841-759818ce9b6c']
['Judge ChronoVoid Cấp 2', 'c6065860-4afc-ef16-97a0-c88445221a2c']
['Judge ChronoVoid Cấp 3', '6ee35273-4fe5-c352-1332-57b0eb04ccac']
['Judge ChronoVoid Cấp 4', 'b05f2a52-40c9-10de-9c90-2ca8e01a5da4']
['Judge Hỏa Thần', 'd8c9fee3-4e02-bc92-a235-608a556905ae']
['Judge Hỏa Thần Cấp 2', '640764d8-495d-3663-27ab-b99f5f2466d6']
['Judge Hỏa Thần Cấp 3', 'd95e4b3c-4081-4005-cae7-14b890046b4f']
['Judge Hỏa Thần Cấp 4', 'd41a4383-4c15-4c3f-1f16-4fbb4fb36ed8']
['Judge Tốc Chiến', '33d3c906-4305-19cf-8770-1eb5207482cc']
['Judge Quét Sạch Toàn Đội', 'ca41d64f-4622-593f-382e-0484a1a3dd6b']
['Judge Shimmer', 'e6bdb298-4372-7c74-a057-f891a3ade5e7']
['Judge .EXE', 'f8cd4279-4530-db62-1e4e-aa82c129b045']
['Judge Họa Tiết Vàng', '77dd3407-4580-9734-a0bb-6b80a4e5be3e']
['Judge Thủy Văn', '2a25f841-4769-6536-ded3-8890ee26c430']
['Judge Tiền Đồn', '11e342ba-4f18-b9ab-964e-e48fdf610890']
['Judge Tán Sắc III', 'b3e563fe-4a91-6070-4582-7ca51d62631a']
['Judge Thanh Bình', '4afdc818-4665-1582-6319-8081aa64e550']
['Judge Kohaku & Matsuba', 'ccf16a23-4222-1abe-d8f0-93a782b5b449']
['Judge Trừng Phạt', '1b94d997-4db6-014f-4cb8-c1b4df7d7ebc']
['Judge Hợp Kim Iridium', '7fa021e2-4881-d71e-f7a1-a6947b4b48d9']
['Judge Thượng Giới', '4f45735c-4513-e9a6-48ac-35acca4c3410']
['Judge Sang Trọng', 'cfeb4b7a-4310-796c-db4e-fb9844823992']
['Judge Biệt Đội Hổ Mang', 'fe644484-4d07-5472-9e4a-d3992f2f2ecb']
['Judge Hỏa Ngục', '8c02ea4f-45ce-76ba-9ea6-198156deb9eb']
['Judge Hỏa Ngục Cấp 2 - Mỗi khi bạn hạ 1 kẻ địch, hiệu ứng hình ảnh và âm thanh đặc biệt sẽ xuất hiện.', 'e1401626-424d-a263-2b60-4eb2147c096c']
['Judge Cáo Góc Cạnh', '3c23fdc3-4300-ec78-5123-bcb0dc456473']
['Judge Trư Thần', '7ae57ece-4560-236b-5bdb-5f8ee2c294b2']
['Judge Ghép Hình', 'a1c04a89-45e6-0406-9e1a-668cd772fc63']
['Judge Xúc Cảm', '65ed014b-4279-8ba5-01d3-f48d4e7f115c']
['Skin Yêu Thích Ngẫu Nhiên', '69dd1d46-422b-ec24-6dc1-fb848d445ef4']
['Judge Tuyết Rơi', 'e1b5cdca-4df5-5c4e-f34a-3cbdd3fd8735']
['Judge', '6942d8d1-4370-a144-2140-22a6d2be2697']
['Judge Lưới Không Gian', '5a93b96b-4b27-c478-0dae-c89077561adb']
['Judge Cánh Cung', '73e91435-4a2a-2552-d541-eb961e168f2c']
['Judge Gỗ Hạt Dẻ', '07ac5e03-42e6-0fd9-b8fa-4d9f059b904f']
['Bucky Xenohunter', '01a984b8-4b91-ab61-60b9-1bb9ce54bd04']
['Bucky Xenohunter Cấp 2', 'a3073107-4927-808c-acce-e0972543f75a']
['Bucky Piedra del Sol', '154dea46-45a7-828d-5e0a-b9b3e4f7d7e3']
['Bucky Khởi Nguồn', '56042ce2-4f95-19be-7cac-5fb191683953']
['Bucky Khởi Nguồn Cấp 2', 'd7ba0b3f-445b-1075-69b9-ebb3d79f7cc6']
['Bucky Khởi Nguồn Cấp 3', '36f894b7-49ae-251d-d6c1-6ba43588feb0']
['Bucky Khởi Nguồn Cấp 4', '52790992-4d3d-cca0-87cd-f8a54cb1a919']
['Bucky Khủng Hoảng Radiant 001', 'bddfd0ba-49a1-0f4f-e32a-d5a1ed29d5fc']
['Bucky Khủng Hoảng Radiant 001 Cấp 2', '9485c7ec-4869-5454-165f-08898e934835']
['Bucky Khủng Hoảng Radiant 001 Cấp 3', '587f57bf-495d-2201-1db4-71aa270dd589']
['Bucky Báo Động Đỏ', '633521c9-42ae-d2be-78c1-a09b25af7d10']
['Bucky Xung Điện', '1e7be2e9-418e-7f39-d879-a8912be1d3ab']
['Bucky .SYS', 'b7652717-49c0-b658-529e-6f8146ab0eca']
['Bucky Đường Chân Trời', 'f7425a39-43ca-e1fe-5b2b-56a51ed479c5']
['Bucky Đế Vương', 'a773dd2f-4027-4b98-8d4b-5ea0c7924883']
['Bucky Thủy Văn', '338bb3e6-4c47-425d-32a5-5ea1a96c78ae']
['Bucky Hoàng Gia//2.0', 'f987be1f-4287-35a4-34a9-d6a92805e7ff']
['Bucky Hoàng Gia//2.0 Cấp 2', 'bb7700ba-44a7-fac9-0a8b-969412238fd4']
['Bucky Hoàng Gia//2.0 Cấp 3', '1db224e3-49b7-eba5-0c94-779238480de1']
['Bucky Hoàng Gia//2.0 Cấp 4', 'a468da91-408b-e7ad-9872-9dafbdd7d37c']
['Bucky Tán Sắc II', '1ef3c871-45db-0f6d-fc34-8bb2685cd6c0']
['Bucky Vương Giả', '4caa7fb0-4751-52f3-6eed-6ab6232be131']
['Bucky Hợp Kim Iridium', 'd1d98507-48c7-a7ed-003c-90b085632fb9']
['Bucky Magepunk', '78776175-4040-282f-07a1-0199b1fdcf58']
['Bucky Magepunk Cấp 2', '82fe02be-416e-f563-4fed-28b74d7c6675']
['Bucky Magepunk Cấp 3', 'e98fc056-4234-d1b9-7d0e-eeb0c41742ad']
['Bucky Magepunk Cấp 4', '3022b056-4d17-3b4a-a80d-22b096b977ec']
['Bucky Trưng Diện', '03e03718-4c65-8a47-fb8b-78ba233cecd1']
['Bucky Khởi Nguyên', 'bb3e45b2-4c4f-e0cb-c094-3a95261bba35']
['Bucky Ion', 'f00520c8-4b70-7255-d23c-c0a4887656a2']
['Bucky Ion Cấp 2', 'd8f0cad0-40a3-75a4-389b-5d8e91e9e157']
['Bucky Ion Cấp 3', 'b1a6a3d0-4c31-266e-0d66-5a960d452220']
['Bucky Ion Cấp 4', '18039610-4134-95f2-0791-e18a2e9f30dd']
['Bucky Oni', 'cdc130c2-4b12-3702-c8f6-5a8920746395']
['Bucky Oni Cấp 2', '8f1dbce8-4012-72a8-1e4f-d4b50cfc5bb8']
['Bucky Oni Cấp 3', 'b5e520a1-43a6-c144-e70d-918d90f05233']
['Bucky Oni Cấp 4', 'af478f2a-4dae-43d3-1545-7d96a65c60b1']
['Bucky Nghệ Nhân', '5466bacf-446b-52a1-611d-339f6f376d40']
['Skin Yêu Thích Ngẫu Nhiên', 'e5c6d130-4226-cdac-8d03-1b97e907b8f9']
['Bucky Siêu Phóng Xạ', '22c0aaa3-4919-5a7b-90c0-2dacafdc32fe']
['Bucky Siêu Phóng Xạ Cấp 2', 'c91875e5-48a9-0820-6b65-aba73bf3479d']
['Bucky Hồ Quang', '23885a08-4a77-82a7-5dbc-ec812f252ca0']
['Bucky Kiêu Hùng', 'b6a089dd-4616-be48-4f28-d8b2a539c0a5']
['Bucky Chiến Giáp', '0771ccd2-40b0-54cf-37b4-c3b5cac03bdb']
['Bucky', '2f5078c7-4381-492d-cc00-9f96966ba1ec']
['Bucky Khí Sương', '5f2ae626-44a5-b1c5-a879-98bc2fe587c6']
['Frenzy Đặc Nhiệm 809', 'bea776cb-4d13-136a-be7f-639dbb7ba01e']
['Frenzy RGX 11z Pro', '6f2aefab-439d-140a-4dc6-87818e2d72cd']
['Frenzy RGX 11z Pro Cấp 2', '496447ae-41f4-278b-ff4a-e09f3272b287']
['Frenzy RGX 11z Pro Cấp 3', '0342399f-45e4-869d-4426-cd8dfc9e0007']
['Frenzy RGX 11z Pro Cấp 4', '61ceadee-4869-1676-4207-228ac4e19664']
['Frenzy RGX 11z Pro Cấp 5', '17ccfd06-4449-de46-2170-a29448d8f4aa']
['Frenzy Xenohunter', '8f254346-439f-0e98-2428-62b0c669d2ae']
['Frenzy Xenohunter Cấp 2', '59a1d043-41ad-111c-80c7-2a94d534819f']
['Frenzy Tận Thế Ragnarok', 'b02520dd-48cd-466c-977d-529dc6a1d6f5']
['Frenzy Khởi Nguồn', 'c4547e69-47a7-dc52-d09c-94bbf87dba0a']
['Frenzy Khởi Nguồn Cấp 2', 'bcdaa979-4e4c-744c-6fd9-2381b2fc2341']
['Frenzy Khởi Nguồn Cấp 3', '4a42f394-4f6c-0b13-3e83-5a8bdf81e0f6']
['Frenzy Khởi Nguồn Cấp 4', 'd3496119-4338-51cb-793f-dda5845d38a5']
['Frenzy Glitchpop', '4b74b3ee-4a63-7339-a28f-8b8be010ca5a']
['Frenzy Glitchpop Cấp 2', 'eddc294e-45f1-026e-1362-70b4e1f1f03a']
['Frenzy Glitchpop Cấp 3', 'd89c07d2-4eab-3776-fa3e-d6abb0e18188']
['Frenzy Glitchpop Cấp 4', '71af2fc6-4a39-7c34-158f-abbd0eeb97e5']
['Frenzy Hỏa Thần', 'ea65ba94-468d-39a8-5ded-98820d72d19f']
['Frenzy Hỏa Thần Cấp 2', '63307028-4680-bbf3-a69f-7faad8113a49']
['Frenzy Hỏa Thần Cấp 3', 'b86ea344-404d-de22-92c8-1b89c455c47d']
['Frenzy Hỏa Thần Cấp 4', 'f70dc825-4be6-0074-0526-758b3f183152']
['Frenzy Bất Diệt', '1ef9fcc9-4087-a079-616a-849f43c51665']
['Frenzy Tốc Chiến', '3e32c58e-4347-e4b1-4502-6dab0dc516a8']
['Frenzy Venturi', '01cba63e-457b-fab8-2252-96ae4344cbef']
['Frenzy Quét Sạch Toàn Đội', '8a3d3cb5-4c8f-0604-b931-9388de1eabad']
['Frenzy Lông Vũ', '2f911f78-46e4-102a-f677-37a069c3a4dc']
['Frenzy Đường Chân Trời', '7cd7c895-4da5-a3bc-3518-ff8d53af5151']
['Frenzy Đế Vương', 'ccbd02ca-442d-08b7-e862-e1a350266fb4']
['Frenzy Thủy Văn', 'c485b3df-4ea3-d457-e75b-35add7e78e7e']
['Frenzy Hoàng Gia//2.0', '2607b2c6-45f7-e75e-94f8-58a738773d5c']
['Frenzy Hoàng Gia//2.0 Cấp 2', '5c29291f-45d5-d302-5cd8-38af2e1565eb']
['Frenzy Hoàng Gia//2.0 Cấp 3', '5c5edc8b-407e-55b5-ae14-9bb555b4043b']
['Frenzy Hoàng Gia//2.0 Cấp 4', 'ac9c073b-4dd0-28c4-3b6a-f09e3a25e60f']
['Frenzy Sang Trọng', '9d333ff1-47e2-04c7-2a26-688c08e9164d']
['Frenzy Nunca Olvidados', '55869fb8-4a79-e684-2000-028fa9f54060']
['Frenzy Thượng Giới', '4efc0af7-4623-cb2e-997c-6cbf2e5ddfb4']
['Frenzy Biệt Đội Hổ Mang', '337b4e6a-46d8-8359-50c0-388717617044']
['Frenzy Ion', '64fcb53f-465d-318e-5bf9-bfa7c39b1d67']
['Frenzy Ion Cấp 2', '828b7634-4bea-0558-0383-94961e3019f3']
['Frenzy Ion Cấp 3', '396da3b7-4830-9e1e-5915-7dbba955b95c']
['Frenzy Ion Cấp 4', '76d90e0a-494a-8cdb-6c21-10b02f27ccc8']
['Frenzy Vệt Lửa', '468505e6-46e2-af29-3974-5fbbe6bf212f']
['Frenzy Aero', '2f69bfe0-4126-4d2b-91b4-c9a2cb1909da']
['Frenzy Trư Thần', 'e44b70cf-4e83-19d3-a748-5f849054dad7']
['Frenzy Xúc Cảm', '5a773352-456e-ef0b-35ab-c99ead159264']
['Skin Yêu Thích Ngẫu Nhiên', 'dbf01b61-4639-696a-d17b-0b85c4e3feec']
['Frenzy Hồ Quang', 'fe7ac291-4516-02d4-9101-0a990615a585']
['Frenzy Chiến Giáp', '47ee5cb6-4059-df8b-6d40-5daaa01ff49f']
['Frenzy Điện Mạch', '08e6ba32-4a6e-8680-df58-39af9c32cdac']
['Frenzy', '80fabd74-4438-a2dd-0c39-42ab449f9ec6']
['Frenzy BlastX', '31da3ec9-4eb0-ce9f-fcbb-e09ec626e748']
['Frenzy BlastX Cấp 2', '3ce662ff-410f-4ed6-1e81-94ad17a685e3']
['Frenzy BlastX Cấp 3', 'a37d950a-483a-ec0d-8ddb-218f726df65e']
['Frenzy BlastX Cấp 4', '79eabc1b-45ed-ea03-35f4-ffaadccfc675']
['Classic RGX 11z Pro', '90cd5d86-4516-918b-29af-07b116f63aa9']
['Classic RGX 11z Pro Cấp 2', '335af838-4f48-e2db-ca91-3d976aab34c2']
['Classic RGX 11z Pro Cấp 3', 'c11deaae-4528-af24-25c6-7f8d928951a5']
['Classic RGX 11z Pro Cấp 4', '44fb2542-45e5-f504-fdb5-fdb075ece7af']
['Classic RGX 11z Pro Cấp 5', '4c741d16-4ab3-873f-99e0-7ab0c0643f08']
['Classic VALORANT GO! Vol. 2', '68ee5c6c-4424-e95a-f46f-c08ec2dfeb97']
['Classic Quang Phổ', 'fe32e4bd-420f-b4cc-de37-febb78df9e16']
['Classic Quang Phổ Cấp 2', 'dfa8a5fd-41bb-cb7f-a8c9-f4b9e1d1de26']
['Classic Quang Phổ Cấp 3', '345b4316-42d1-6e90-321d-fa930ef43762']
['Classic Quang Phổ Cấp 4', '40489a32-47c8-710c-5ed9-738a61a3db38']
['Classic Súng Lục Tí Nị', 'c2e41149-4f8b-e191-a0ae-5a94b80044f5']
['Classic Xuất Kích', '564806a9-43fd-986e-7901-6790b6077a0d']
['Classic Khủng Hoảng Radiant 001', '13f3818c-4518-cf39-51f6-8cad1dc5bfc6']
['Classic Khủng Hoảng Radiant 001 Cấp 2', 'e70a810d-4dc6-7d09-cb28-eabe004df4bb']
['Classic Khủng Hoảng Radiant 001 Cấp 3', '499135d0-4848-c78c-21fc-5699a262fa95']
['Classic Báo Động Đỏ', 'd2b8b79b-4be7-4790-a356-4e9b06d3965e']
['Classic Thành Phố Ngầm', '1590d353-4b81-4207-b79a-5493231cbee7']
['Classic Glitchpop', '25cb63cd-416e-ab23-2377-d18638679871']
['Classic Glitchpop Cấp 2', '1a8103b0-4daf-2bee-6051-75a80cc49dce']
['Classic Glitchpop Cấp 3', 'f7b66f96-46af-4003-7b9c-9d86a18fead8']
['Classic Glitchpop Cấp 4', '748397a3-42c7-7482-3451-57a28b3af4c3']
['Classic Tinh Tế', '30f3e881-43d0-a455-b272-e8968c45761f']
['Classic Xung Điện', '29a5ecc2-4f93-068a-130a-b5a8a113fec9']
['Classic Kim Ca', '3e20522c-42ba-797e-b469-da88b5de7505']
['Classic Hoang Tàn', '81658642-4f78-cbb4-9e40-b8856a904bc7']
['Classic Hoang Tàn Cấp 2', '5ee11790-419d-af54-61da-9983470dddb5']
['Classic Hoang Tàn Cấp 3', '64b7415b-4425-6d04-9aae-d8ac9c502f8f']
['Classic Hoang Tàn Cấp 4', '0256f32e-4c05-d95f-5a98-1caa0a3f7d6f']
['Classic Shimmer', '54bce490-408d-3547-3d8a-aca353c2fa01']
['Classic LỤC/cầm tay', 'e7822f41-4dc8-6fab-a931-4fb1bb7590ab']
['Classic Họa Tiết Vàng', 'ead87ff8-4cad-e895-fd07-57b4db148022']
['Classic Hoàng Gia', 'c7695ce7-4fc9-1c79-64b3-8c8f9e21571c']
['Classic Hoàng Gia Cấp 2', '7b2c1232-460b-ab9a-1eca-55b5aee9ad08']
['Classic Hoàng Gia Cấp 3', '4fc58223-43e7-a868-a6df-5e93be31369c']
['Classic Hoàng Gia Cấp 4', 'e8a35ddb-4ce7-3867-154c-94803ed12a24']
['Classic Băng Giá', '3800390c-4192-92d1-1703-33ba231fc226']
['Classic Tán Sắc III', '01868af0-4d5c-6f65-5b77-b6bb5aadaf09']
['Classic Vương Giả', '6ab90b28-49f1-9e1b-5083-2da2de61e109']
['Classic Kohaku & Matsuba', '066f6d01-4940-606a-70f6-e78fb20f5d2d']
['Classic Trừng Phạt', 'eb35e4e1-4138-9ece-08e2-69bd414cf598']
['Classic Uốn Lượn', '1b300b91-41bb-d468-f65f-f68ec0861bd6']
['Classic Trưng Diện', 'b8bc5d1b-44aa-aa83-0246-b1a6bb496177']
['Classic Băng Ngục', '59e65120-4806-491a-9e88-13a26c80ee3f']
['Classic Băng Ngục Cấp 2', '5383be6c-4249-5789-0836-eb985e826954']
['Classic Băng Ngục Cấp 3', '258fab16-4723-56bb-2fac-06951346be1e']
['Classic Cửu Mệnh', 'b2ae014f-4c4e-1308-d1c7-e8bc70c46947']
['Classic Vụ Nổ Thiên Thạch', '8bd8c44c-4c30-947a-5531-a0b823d574ea']
['Skin Yêu Thích Ngẫu Nhiên', '1b9b82e2-4352-e339-f0f8-7d96d16b48e0']
['Classic Siêu Phóng Xạ', 'f35f6e13-4b7b-da38-c0de-5c91fffd584b']
['Classic Siêu Phóng Xạ Cấp 2', '6958fbf5-4708-f97e-92e1-c7abdf6724b1']
['Classic Anh Đào', 'df639108-4e9d-7fc1-51da-4dbb810ba011']
['Classic Tuyết Rơi', 'f2a7150b-4894-0dc8-53b3-bf9a30fa4ea4']
['Classic Vô Cực', '03dc8f7e-46b0-e412-e335-47bb646fa057']
['Classic', '51cbccad-487c-50ed-2ffd-c88b4240fab3']
['Classic Mũi Nhọn Cuối Cùng', 'bbbe4b32-457c-e4fb-a674-1d9c3885d331']
['Ghost VALORANT GO! Vol.1', '2dd042e4-409e-c8ed-ec76-758529e49d99']
['Ghost Gaia Báo Thù', 'f7862f1f-4340-6e42-b1fa-0ebcdcf43456']
['Ghost Gaia Báo Thù Cấp 2', 'faced80a-4ebf-c35d-ef38-71a32b63a143']
['Ghost Gaia Báo Thù Cấp 3', '1694d232-4a90-7da9-dd1f-268626aa573d']
['Ghost Gaia Báo Thù Cấp 4', '13d0ce22-4c97-02a0-4e16-c7964d9b1332']
['Ghost Phi Hành Gia', '80073abf-4fea-b06d-f70c-bdbe6d8ce0a7']
['Ghost Piedra del Sol', '8f9a3c0c-47ac-6032-7027-899c7e35958e']
['Ghost Hành Trình Tinh Vân', '0235ff00-4ba4-2092-ea7d-b99299d7017f']
['Ghost Khạc Lửa', 'c247790e-4a6b-a3f2-1e1f-ccae710b5179']
['Ghost .EXE', '9466088a-4ad8-cb08-ec9a-45aaba3a6acd']
['Ghost Thinh Lặng', 'afcb2528-4415-0178-98b1-c0a751092762']
['Ghost Chiến Hồn', '0296ff9b-4172-5a29-7d25-a7bf491b5bd4']
['Ghost Chiến Hồn Cấp 2 - Mỗi khi bạn hạ 1 kẻ địch, hiệu ứng hình ảnh và âm thanh đặc biệt sẽ xuất hiện', '0cb68ca8-4aff-9938-546c-1faed16b113f']
['Ghost Lục Quân', 'a14fa0b5-4b03-2ad9-3b0e-a3ac6a0b033b']
['Ghost Họa Tiết Vàng', '9130e35d-49bb-027d-c536-96a8b63c3f1c']
['Ghost Tiền Đồn', '9fa5664e-45fa-2a52-68e4-db97d85c8a91']
['Ghost Tán Sắc', '5546f723-4056-6700-80b8-f1b8d42e4952']
['Ghost Thanh Bình', 'de822d80-4e91-943d-3dd5-429513e7d177']
['Ghost Đại Suy Vong', '5e1f5465-40cd-2c0f-33ab-398c5367d080']
['Ghost Đại Suy Vong Cấp 2', '4ac6acb8-4b37-67fd-39ec-c6800ba7367f']
['Ghost Đại Suy Vong Cấp 3', 'e26a2676-4257-a963-cf70-bf9f52f1f318']
['Ghost Đại Suy Vong Cấp 4', 'b78f3320-444e-b936-637c-258505ea509d']
['Ghost Sang Trọng', '68564c51-4f7e-67d1-fd0d-4e9d216356e8']
['Ghost Magepunk', '003e0991-4370-8837-f8fc-6ab3acec2dbf']
['Ghost Magepunk Cấp 2', 'b5ced653-45ca-9cd4-e6d5-8db020c6881d']
['Ghost Magepunk Cấp 3', 'aa704280-43ff-991e-c3d7-63abf43c8bd0']
['Ghost Magepunk Cấp 4', 'abf6805e-4def-f0f0-92cf-28bb67c46fed']
['Ghost Nghệ Nhân', 'b70db444-4ede-9cee-25dd-35b2edb38cd5']
['Ghost Ghép Hình', 'd0793c86-471d-c60c-b0da-bcbadcd8bf12']
['Ghost Dạ Nguyệt', '091e534b-4ad9-599e-c8fe-f99a568c7503']
['Skin Yêu Thích Ngẫu Nhiên', '7afbe865-4832-941b-049b-1397bd90d4d8']
['Ghost Nhật Thực', '55aaa4ee-4d64-51c7-3c09-fd9bcbe1d122']
['Ghost Ma Sói', '04c6f57c-4463-f8b7-a475-6c89b2ec4416']
['Ghost Cưỡng Đoạt', 'a6fe7710-4edc-5e23-223d-aeaef3d17866']
['Ghost Cưỡng Đoạt Cấp 2', 'aef240db-4587-9d5d-bf89-eab5eeacf28e']
['Ghost Cưỡng Đoạt Cấp 3', 'ab52517a-4a6c-0af9-1fc4-dbba07d6cd16']
['Ghost Cưỡng Đoạt Cấp 4', '8ac0b94e-4b23-d9d2-8bc0-a7a34b477930']
['Ghost Tối Cao', 'ed8a1109-4e48-f077-636b-e98dd332bfcc']
['Ghost Tối Cao Cấp 2', '94b4e0f7-454d-0e5b-9f32-4d9fd399d8a2']
['Ghost Tối Cao Cấp 3', '5aa0593c-40fc-b9c4-9232-7f91f75b9fbd']
['Ghost Tối Cao Cấp 4', 'd5e747da-4d41-28e2-68b2-c5b41584f7cb']
['Ghost Đế Quốc', 'b9f4e6ea-4db2-6939-731f-0eb93cfbbb1d']
['Ghost Trinh Sát', '459343eb-4c56-4f10-ff2f-fbbf07d3695d']
['Ghost Trinh Sát Cấp 2', 'ee07b00e-4ef5-66dd-adae-91b90b1b8556']
['Ghost Trinh Sát Cấp 3', 'a2664625-480a-86ce-1ca6-609125252be2']
['Ghost Kiêu Hùng', '7cee2791-457c-6017-cfba-bca7f61fc151']
['Ghost', '0a7e786c-444e-6a80-8bda-e2b714d68332']
['Ghost Lưới Không Gian', '232f93cb-4c6e-512c-9961-db9b90929400']
['Ghost Biển Sâu', 'bb0450c4-47db-4fc7-d0c3-a8a5320d673b']
['Ghost Tự Cao', 'f9fab42c-46bf-1bf0-dba5-32988be03fc2']
['Ghost Huyết Thù', '4526a891-4754-da6c-7ada-95a8a259952e']
['Ghost Mùa Đông Kỳ Diệu', 'd0fda3cb-454c-e81d-94e4-42942c99f02d']
['Ghost Tử Linh Giảm Thanh', 'b85b3760-43bb-507d-323e-1682fa76d96b']
['Sheriff Người Du Hành', 'b9bf9657-411e-8fe3-b717-b99ba01fe07a']
['Sheriff Trường Tồn', 'd3f40fb9-40ec-b61f-7479-ceaded7b176a']
['Sheriff Quý Tộc', '6d4766d0-41f0-8493-93eb-a4902a0c6034']
['Sheriff Tinh Vân', '353c1e5f-4258-c49a-c0d6-319ad33bffea']
['Sheriff ChronoVoid', 'ade427fc-4b24-f290-c91a-b1904b787f42']
['Sheriff ChronoVoid Cấp 2', '5ea7ae90-4b5c-bc7d-e1b4-25a1dae54e6d']
['Sheriff ChronoVoid Cấp 3', 'dc7fb3f6-476b-fac7-2e2d-f4b1d1ed062d']
['Sheriff ChronoVoid Cấp 4', '1e60239c-4322-aec5-8e82-f39cfb196f88']
['Sheriff Vực Thẳm', 'ae3986a0-4a43-7218-218f-63b8c5c7c63b']
['Sheriff Dị Biệt', '4276d2b5-4b1c-b636-aff0-4ea579d875d7']
['Sheriff Dị Biệt Cấp 2', '4a585df0-4bc4-17aa-1e5a-ccac42b07d12']
['Sheriff Dị Biệt Cấp 3', 'f73b2921-4f40-918e-08eb-45abd9ce2b3c']
['Sheriff Dị Biệt Cấp 4', '65c2c8d3-4473-4f74-305c-ff90fbf318e8']
['Sheriff Xung Điện', 'db36ee86-4aa7-249f-6745-5e9ddffa50b4']
['Sheriff .SYS', '6287a1f1-4d10-5190-86ec-659b26020e87']
['Sheriff Phòng Vệ', 'd9fc55c6-4b92-98ac-5052-2a8b5ca4fb71']
['Sheriff Tán Sắc II', 'b6e6ea9e-432d-ec17-904e-62a5ea45f1a7']
['Sheriff K/TAC', 'df35b7df-4add-58fb-418c-0dbea48b7e82']
['Sheriff Hợp Kim Iridium', 'c5ee573f-4f5d-e64c-240c-89a1d1be64a1']
['Sheriff Magepunk', '59733cf9-490b-e25b-2c6f-eca947628079']
['Sheriff Magepunk Cấp 2', 'c1e1dc78-44e1-1d94-171e-d7933d2828c7']
['Sheriff Magepunk Cấp 3', '43f79fbc-4a00-f0fc-0813-2cb8224ee6d3']
['Sheriff Magepunk Cấp 4', '892725e3-4c2a-0333-e43a-1da5896cd6a4']
['Sheriff Minima', '75b110de-40e5-3e02-d700-2abda38817c5']
['Sheriff Thần Rừng', '9dbc52e2-4889-cbe5-b874-4f8f0f8f3781']
['Sheriff Hỏa Ngục', '72586d88-46c4-1532-7507-d6bb5c2d201c']
['Sheriff Hỏa Ngục Cấp 2 - Mỗi khi bạn hạ 1 kẻ địch, hiệu ứng hình ảnh và âm thanh đặc biệt sẽ xuất hiện.', '11217acc-4f12-d9fe-60a4-88b32f355bd2']
['Sheriff Ion', '2b555f97-46bb-5949-3531-979f5bc817f0']
['Sheriff Ion Cấp 2', 'a60421b9-4b86-ccd3-ca08-808ef4cf112b']
['Sheriff Ion Cấp 3', '1ad8e7b3-4547-0890-aa8d-d79be028e48f']
['Sheriff Ion Cấp 4', 'becd58d6-4da0-db56-a748-35923d2750e1']
['Sheriff Cáo Góc Cạnh', '02f45c84-427c-d575-945f-ba913a732b72']
['Sheriff Ếch Góc Cạnh', '54ab75c2-42f2-544f-f4f2-ce9ca9180f6b']
['Sheriff Giao Ước 781-A', '12831559-44ee-c708-b97c-29a43938e3cd']
